"person_id";"person_wikidata_id";"person_name";"person_full_name";"person_other_names";"sex";"year_birth";"year_death";"occupation";"other"
86;"random_idd9e15ac481e9df48eba59902c2ec7951824e8675";"Мей, С. Г.";"";"";"";"";"";"";""
87;"random_id21954485704527d1bdbcfa6c52478864461f07cb";"Победоносцев, С. И.";"";"";"";"";"";"";""
88;"random_id22d1a691f51ffb0cb3dd3a7e7ca52586112e66bc";"Пономарёв, С. И.";"";"";"";"";"";"";""
89;"random_idee2c1b6262d71402adea03fb317d883bfa4a9019";"Подгорецкий, С. С.";"";"";"";"";"";"";""
90;"Q315188";"Аксаков, С. Т.";"Аксаков, Сергей Тимофеевич";"";"";"1791";"1859";"";""
91;"random_id87b1691d3d555dcb92da884715fad08f92a9aebd";"Аксаков, О. С.";"";"";"";"";"";"";""
92;"random_id4cea67253070323b53f7721ab5103d915fa3310e";"Сенат";"";"";"";"";"";"";""
93;"random_ide3852e45f4c5aee54e7c6297555a86b96bed31f0";"Боденштедт, Ф.";"";"";"";"";"";"";""
94;"Q4318175";"Нефёдов, Ф. Д.";"Нефёдов, Филипп Диомидович";"";"";"1838";"1902";"";""
95;"Q37217";"Тютчев, Ф. И.";"Тютчев, Фёдор Иванович";"";"";"1803";"1873";"";""
96;"Q991";"Достоевские, Ф. М.";"Достоевский, Фёдор Михайлович";"";"";"1821";"1881";"";""
97;"random_id4a7b0f868095dfa62cde22f372a11f0a6c497df6";"Чижов, Ф. Ф.";"";"";"";"";"";"";""
98;"Q2993112";"Самарин, Ю. Ф.";"Самарин, Юрий Фёдорович";"";"";"1819";"1876";"";""
99;"Q2995186";"Грот, Я. К.";"Грот, Яков Карлович";"";"";"1812";"1893";"";""
100;"random_idcf6d50a4731edeb1d42f771454f0a1e69e7ba70d";"Попов, А. Н.";"";"";"";"";"";"";""
101;"random_idaab15f763d4200ebe155811aa00c12c29e76a4a7";"Панов, В. А.";"";"";"";"";"";"";""
102;"Q192885";"Белинский, В. Г.";"Белинский, Виссарион Григорьевич";"";"";"1811";"1848";"";""
103;"random_idb6cb216dbd0c28fe7340cdb06245f22ceca5db2c";"Аксакова, В. С.";"";"";"";"";"";"";""
104;"random_id58c2f2fd94b1394069913db324f13224569fdd69";"Карташевские, Г. Н.";"";"";"";"";"";"";""
105;"random_idcfbcb72351d4bf07bb4a4ade927d65bd595e15c2";"Карташевские, Н. Т.";"";"";"";"";"";"";""
106;"Q4059837";"Аксаков, Г. С.";"";"";"";"1820";"1891";"";""
107;"random_id0dfdb77ae2807d1b1ebaf106e295f7dad3e31ac8";"Карташевская, М. Г.";"";"";"";"";"";"";""
108;"random_id95942bc3794eb5f0f31978206ec2245fa0185b62";"Ригельман, Н. А.";"";"";"";"";"";"";""
109;"random_id03e4f1c5e6eb4a210ac7730b38356a893183b6a8";"Аксаков, В. С.";"";"";"";"";"";"";""
110;"Q19425";"Вяземские";"Вяземский, Пётр Андреевич";"";"";"1792";"1878";"";""
111;"random_id9141ba0e5e2b798be7979b90110e7579f8d7e377";"Великопольская, С. М.";"";"";"";"";"";"";""
112;"Q4343827";"И. А Панаев";"Панаев, Владимир Иванович";"";"";"1792";"1859";"";""
113;"Q25672";"Бенкендорф, А. Х.";"Бенкендорф, Александр Христофорович";"";"";"1782";"1844";"";""
114;"random_idd1b5f5ea738f16844be8d8133748fa34e7e72979";"Бывшие студенты Казанского университета";"";"";"";"";"";"";""
115;"random_id09dbb0bf2de84cec8779710d3ccd90d571660c95";"Аксаков, М. С.";"";"";"";"";"";"";""
116;"random_id8f98a2aa319db9826916d877fcae8b550d9adde5";"Главное управление цензуры";"";"";"";"";"";"";""
117;"random_id6e934c060cf6180be0dafdcf6ebdc4825ca6e6d0";"Голицын, Д. В.";"";"";"";"";"";"";""
118;"random_idb5581ba0ddb74d234349b83bbfea94183c24a3bb";"Трутовский, К. А.";"";"";"";"";"";"";""
119;"random_idff5a8bf37d15f2515bbd8af7a105e94f17dfb346";"Гоголь, М. И.";"";"";"";"";"";"";""
120;"Q1093709";"Погодин, М. П.";"Погодин, Михаил Петрович";"";"";"1800";"1875";"";""
121;"Q4156197";"Де-Пуле, М. Ф.";"";"";"";"1822";"1885";"";""
122;"Q67497656";"Надеждин, Н. И.";"Надеждин, Николай Иванович";"";"";"1813";"1890";"";""
123;"random_idd370be4fabb2225d2a3a5ba5ec57d4347973c176";"Макаров, Н. Я.";"";"";"";"";"";"";""
124;"Q15079444";"Перфильев";"";"";"";"1826";"1890";"";""
125;"Q1967027";"Шевырёв, С. П.";"Шевырёв, Степан Петрович";"";"";"1806";"1864";"";""
126;"Q4060435";"Аладьин, Е. В.";"Аладьин, Егор Васильевич";"";"";"1796";"1860";"издатель, писатель, поэт и переводчик";""
127;"Q15193";"Александр I, ";"Александр I";"";"";"1777";"1825";"император";""
128;"Q2522179";"Шишков, А. С.";"Шишков, Александр Семёнович";"";"";"1754";"1841";"";""
129;"random_id63381039ea65fd24b30d2db3fd34c64ae7a78137";"Александров, П.";"Александров, П.";"";"";"";"";"?";""
130;"Q18235558";"Алексеев, Н. С.";"Алексеев, Николай Степанович";"";"";"1788";"1854";"офицер времён Отечественной войны, которому А. С. Пушкин посвятил свою поэму «Гавриилиада», а также стихотворения «Приятелю», «Мой милый, как несправедливы» (оба 1821), «Прощай, отшельник бессарабской» (1826)";""
131;"Q4062730";"Алмазов, Б. Н.";"Алмазов, Борис Николаевич";"";"";"1827";"1876";"поэт-пародист, переводчик, литературный критик";""
132;"Q922027";"Лажечников, И. И.";"Лажечников, Иван Иванович";"";"";"1792";"1869";"";""
133;"Q4143702";"Горбунов, И. И.";"Горбунов, Иван Фёдорович";"";"";"1831";"1895";"";""
134;"Q4063217";"Алчевская, Х. Д.";"Алчевская, Христина Даниловна";"";"";"1841";"1920";"русский и украинский педагог, просветитель, жена предпринимателя и мецената А. К. Алчевского";""
135;"Q171242";"Г. И Успенский";"Успенский, Глеб Иванович";"";"";"1843";"1902";"";""
136;"Q4063404";"Альбов, М. Н.";"Альбов, Михаил Нилович";"";"";"1851";"1911";"писатель";""
137;"Q4515202";"Чехов, А. П.";"Чехов, Александр Павлович";"";"";"1855";"1913";"";""
138;"Q4152306";"Гуревич, Л. Я.";"";"";"";"1866";"1940";"";""
139;"random_idd63262a32d4ef9c3eb9fe150cb1ca64189b0c327";"ред. «Новостей»";"";"";"";"";"";"";""
140;"Q4064878";"Анастасевич, В. Г.";"Анастасевич, Василий Григорьевич";"";"";"1775";"1845";"поэт, учёный, переводчик, издатель, библиограф";""
141;"Q4065729";"Андреевский, С. А.";"Андреевский, Сергей Аркадьевич";"";"";"1847";"1918";"поэт, критик и судебный оратор";""
142;"random_id91720876a537c32a9605bf07fc20e8972ba2770f";"Андриевский, И. Е.";"Андриевский, Иван Ефимович";"";"";"";"";"писатель, юрист, историк, архивист, гигиенист, педагог, профессор и ректор Императорского Санкт-Петербургского университета";""
143;"Q192331";"Чернышевский, Н. Г.";"Чернышевский, Николай Гаврилович";"";"";"1828";"1889";"";""
144;"Q1373475";"Анненков, П. В.";"Анненков, Павел Васильевич";"";"";"1813";"1887";"лит. критик, мемуарист";""
145;"random_id38d0dece63a4e2dcbf40324e94f41addc6490766";"Полтарацкий, С. Д.";"";"";"";"";"";"";""
146;"Q28665410";"Буткевич, А. А.";"Буткевич, Анна Алексеевна";"";"";"1823";"1882";"";""
147;"random_id2e1fa86dfc49f00e7d8aaba81fd0c5723805bcc2";"Топоров, А. В.";"";"";"";"";"";"";""
148;"Q374362";"Огарев, Н. П.";"Огарев, Николай Платонович";"";"";"1813";"1877";"";""
149;"Q1354525";"Пыпин, А. Н.";"Пыпин, Александр Николаевич";"";"";"1833";"1904";"";""
150;"random_id2cc2210839bacf0f3980940007287926c9b67e8a";"Татаринов, А. Н.";"";"";"";"";"";"";""
151;"random_id929858718beac531dc30044e3cbfcd8898d45558";"Анненков, А. П.";"";"";"";"";"";"";""
152;"random_id13073560712e096e163969d44539695d42c4d26f";"Анненков, И. П.";"";"";"";"";"";"";""
153;"random_id222ffe6adcdc3c848ced36edd581fa8e756c27d3";"Анненков, Ф. П.";"";"";"";"";"";"";""
154;"Q470371";"Писемский, А. Ф.";"Писемский, Алексей Феофилактович";"";"";"1821";"1881";"";""
155;"Q191882";"Михайлов М. И., ";"Михайлов М. И.";"";"";"1885";"1925";"";""
156;"Q2385068";"Боткин, В. П.";"Боткин, Василий Петрович";"";"";"1812";"1869";"";""
157;"Q4131613";"Гаевский, В. П.";"Гаевский, Виктор Павлович";"";"";"1826";"1888";"";""
158;"Q4234537";"Корш, Е. Ф.";"Корш, Евгений Фёдорович";"";"";"1809";"1897";"";""
159;"random_id8feb47feb739a1ff76f5f78620b2fbcbc91a57d1";"Анненков, И. В.";"";"";"";"";"";"";""
160;"random_idf1d40087aa82b1d63ad659ce0f23b511aa7b8525";"Анненков, Ф. В.";"";"";"";"";"";"";""
161;"random_id29ba7fb8aab22c15e746aae831d3283ad0aefc4e";"Маркс, К.";"";"";"";"";"";"";""
162;"random_id445f98a71b017f3644a5364432d485a7224df61f";"Белинская, М. В.";"Белинская, Мария Васильевна";"";"";"";"";"";""
163;"Q211785";"Салтыков-Щедрин, М. Е.";"Салтыков-Щедрин, Михаил Евграфович";"";"";"1826";"1889";"";""
164;"Q4441249";"Стасюлевич, М. М.";"Стасюлевич, Михаил Матвеевич";"";"";"1826";"1911";"";""
165;"Q257349";"Островский, М. Н.";"Островский, Михаил Николаевич";"";"";"1827";"1901";"";""
166;"random_idb9e74f9decceff5fc22e49e4b73c8921caaf8a00";"Огарева, Н. А.";"";"";"";"";"";"";""
167;"random_id928db83a0b54d9de399020d86afe29259264fe29";"Щербань, Н. В.";"";"";"";"";"";"";""
168;"Q4341440";"Павлищев, Н. И.";"Павлищев, Николай Иванович";"";"";"1802";"1879";"";""
169;"Q4066660";"Анненский, Н. Ф.";"Анненский, Николай Фёдорович";"";"";"1843";"1912";"экономист, статистик, публицист-народник, журналист, переводчик и общественный деятель";""
170;"Q4142814";"В. А. Гольцев ~";"Гольцев, Виктор Александрович";"";"";"1850";"1906";"";""
171;"random_id47202516cfed7a5e5b373a99e1e572e19d0f867d";"Анонимный адресант, ";"Анонимный адресант";"";"";"";"";"";""
172;"Q3920671";"Антонович, А.";"Антонович, А.";"";"";"1877";"1937";"?";""
173;"Q1967191";"Антонович, М. А.";"Антонович, Максим Алексеевич";"";"";"1835";"1918";"критик, публицист";""
174;"Q43858938";"Львов-Рогачевский, В. Л.";"";"";"";"1874";"1930";"";""
175;"Q2631309";"Елисеев, Г. З.";"Елисеев, Григорий Захарович";"";"";"1821";"1891";"";""
176;"random_idd5b9d5c3b5e8ceefc9bcd20278606daaea8ed979";"Пыпин, Е. Н.";"";"";"";"";"";"";""
177;"random_idef6ea6c3928c91130f0a7c2c16046738fc5f68c6";"Пыпин, С. Н.";"Пыпин, Сергей Николаевич";"";"";"";"";"";""
178;"Q3651051";"Николадзе, Н. Я.";"Николадзе, Николай Яковлевич";"";"";"1843";"1928";"";""
179;"random_id814249a088699d13ac9f7ad2f7e4fd254bea61eb";"Лавров, П. Л.";"Лавров, Пётр Лаврович";"";"";"";"";"";""
180;"random_id8545d44858b9fe9bf7b4fe5fb343d8609bf22a4b";"ред. «Биржевых ведомостей»";"";"";"";"";"";"";""
181;"random_id88cd09f9789bfd6e44b0a1ca92c92903e3448d00";"ред. «Речи»";"";"";"";"";"";"";""
182;"random_idd97d4f49dd891bf92fd65e5ac645c48694901fa2";"ред. «Современника»";"";"";"";"";"";"";""
183;"random_idc61c5551eaf31ca09671d7050344db012d902c4c";"редакторы «Слова»";"";"";"";"";"";"";""
184;"random_idba3ab553eeba94f127a497c3a6bbaa1949b7d373";"Сын";"";"";"";"";"";"";""
185;"random_ida63f49999f8226be33c252deb094fdb3e6903b51";"Апрелова, Е. И.";"Апрелова, Елена Ивановна";"Ардов, Бламберг";"";"";"";"романистка";""
186;"Q2618170";"Апухтин, А. Н.";"Апухтин, Алексей Николаевич";"";"";"1840";"1893";"поэт";""
187;"Q4180512";"Жиркевич, А. В.";"";"";"";"1857";"1927";"";""
188;"Q4230805";"Кони, А. Ф.";"Кони, Анатолий Фёдорович";"";"";"1844";"1927";"";""
189;"random_id73ba0291be1e811a1dd1d2ffafeced00a34c89df";"Бертенсон, В. Б.";"";"";"";"";"";"";""
190;"Q7243";"Толстой, Л. Н.";"Толстой, Лев Николаевич";"";"";"1828";"1910";"";""
191;"random_id334ed5b1d686cd2aee55547c5841c60fda2e5841";"Козлов, П. В.";"";"";"";"";"";"";""
192;"Q7315";"Чайковский, П. И.";"Чайковский, Пётр Ильич";"";"";"1840";"1893";"";""
193;"Q4068550";"Арапов, П. Н.";"Арапов, Пимен Николаевич";"";"";"1796";"1861";"писатель, драматург и переводчик, журналист, первый историограф русского театра";""
194;"Q629784";"Загоскин, М. Н.";"Загоскин, Михаил Николаевич";"";"";"1789";"1852";"";""
195;"Q50943";"Арина Родионовна, ";"Арина Родионовна";"";"";"1758";"1828";"няня А. С. Пушкина";""
196;"Q15064125";"Арсеньев, Д. Н.";"Арсеньев, Дмитрий Николаевич";"";"";"1779";"1846";"полковник лейб-гвардии Уланского полка, позже камергер";""
197;"Q3033146";"Арсеньев, Д. С.";"Арсеньев, Дмитрий Сергеевич";"";"";"1832";"1915";"адмирал (1901), участник Среднеазиатских походов";""
198;"Q4070031";"Арсеньев, К. И.";"Арсеньев, Константин Иванович";"";"";"1789";"1865";"историк, статистик, географ";""
199;"Q561639";"Булгарин";"Булгарин, Фаддей Венедиктович";"";"";"1789";"1859";"";""
200;"Q1782723";"Арсеньев, К. К.";"Арсеньев, Константин Константинович";"";"";"1837";"1919";"писатель, адвокат";""
201;"Q15649241";"Арсеньева, Е. А.";"Арсеньева, Елизавета Алексеевна";"Столыпина";"";"1773";"1845";"бабушка М. Ю. Лермонтова по линии матери";""
202;"Q46599";"Лермонтов, М. Ю.";"Лермонтов, Михаил Юрьевич";"";"";"1814";"1841";"";""
203;"random_id3a162271c3f8700150992f87ce0ae319f3b6c4d7";"Артемов, П. И.";"Артемов, Павел Ильич";"";"";"";"";"?";""
204;"Q365925";"Аршиак, А. д.";"Аршиак, Адольф де Сен-Симон";"";"";"1802";"1868";"французский геолог, палеонтолог";""
205;"random_id7593a14965d7a4bc34a2ce215dd5b5d6d23748ae";"Асташов, В. И.";"Асташов, Вениамин Иванович";"";"";"";"";"генерал-лейтенант, партнер Н. А. Некрасова по охоте";""
206;"random_idd6b755771b777a75fd1338b77d3f3b58352618c7";"Астраков, С. И.";"Астраков, Сергей Иванович";"";"";"";"";"?";""
207;"random_id321a930d30eb47fa423f14df3c3934c0e5e4705d";"Астракова, Т. А.";"Астракова, Т. А.";"";"";"";"";"?";""
208;"Q4071817";"Астырев, Н. М.";"Астырев, Николай Михайлович";"";"";"1857";"1894";"писатель, беллетрист";""
209;"Q1984548";"Мачтет, А.";"Мачтет, Григорий Александрович";"";"";"1852";"1901";"";""
210;"random_id7431c518bdd02d96f9f7fab4f1ec323975fa57f6";"Астырева, Е. Н.";"";"";"";"";"";"";""
211;"Q402199";"Атанацкович, П.";"Атанацкович, Павел";"";"";"1788";"1867";"сербский писатель и филантроп; епископ Сербской православной церкви, епископ Бачский";""
212;"Q4072674";"Афанасьев-Чужбинский, А. С.";"Афанасьев-Чужбинский, Александр Степанович";"";"";"1817";"1875";"поэт, писатель, переводчик, этнограф";""
213;"Q4073030";"Ахматова, Е. Н.";"Ахматова, Елизавета Николаевна";"";"";"1820";"1904";"писательница, переводчица";""
214;"Q315158";"Ахундов, М. Ф.";"Ахундов, Мирза Фатали";"";"";"1812";"1878";"писатель-просветитель, поэт, философ-материалист и общественный деятель, член Российского императорского географического общества";""
215;"Q2299317";"Полонский, Я. И.";"Полонский, Яков Петрович";"";"";"1819";"1898";"";""
216;"random_ida270aacfc59e07b1e183f3c345dae86868297000";"Базунов, И. В.";"Базунов, Иван Васильевич";"";"";"";"";"книготорговец, представитель конторы «Современника» в Москве";""
217;"random_id7ce4691aba9d30c669a8d23d00c825342a8792c7";"Бакланов, В. П.";"Бакланов, В. П.";"";"";"";"";"?";""
218;"Q27645";"Бакунин, М. А.";"Бакунин, Михаил Александрович";"";"";"1814";"1876";"революционер";""
219;"Q4172868";"Салиас-де-Турнемир, Е. В.";"Салиас-де-Турнемир, Елизавета Васильевна";"";"";"1815";"1892";"";""
220;"random_id9be1977ed4a0f4255aeb1bdcf96e88365c6edc5a";"Баландин, А. И.";"Баландин, А. И.";"";"";"";"";"?";""
221;"Q1937889";"Балашов, А. Д.";"Балашов, Александр Дмитриевич";"";"";"1770";"1837";"государственный деятель, первый министр полиции (1810—1812), одновременно санкт-петербургский военный губернатор (1809—1812), генерал от инфантерии (1823), генерал-адъютант (1809)";""
222;"random_ide0950f9b5f0cb6aa513ef4df4516aa74c8ff856a";"Балугьянская, М.";"Балугьянская, М.";"";"";"";"";"?";""
223;"random_id33a0c5ecfdb760224c56af126fd4acdc50abe0d8";"Бальш, А.";"Бальш, А.";"";"";"";"";"";""
224;"random_id0bf43bb396cbd63c57ca0f4b636bfb8356e54d05";"Банковский, П. С.";"Банковский, П. С.";"";"";"";"";"?";""
225;"Q313832";"Романов, К. К.";"Романов, Константин Константинович";"";"";"1858";"1915";"";""
226;"Q4077485";"Бантыш-Каменский, Д. Н.";"Бантыш-Каменский, Дмитрий Николаевич";"";"";"1788";"1850";"историк, чиновник, тобольский и виленский губернатор";""
227;"random_idde0a614f526a4e06d2e0545c7dfb43e3ade25f84";"Баранов, Х. Л.";"Баранов, Х. Л.";"";"";"";"";"?";""
228;"Q2988452";"Барант, П. д.";"Барант, Проспер де";"";"";"1782";"1866";"французский историк, публицист, дипломат и политический деятель, почётный член Петербургской академии наук";""
