source,affiliation,publish,year_of_publish,form_of_publish,one-two-sided,personas,comments,e-source,n-letters,target,year,source_wkid,target_wkid
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 1. М.—Пб., 1888.",1888,"переписка, отрывки",двусторонняя,"С. Т., О. С., О. С. Аксаковым. (164). 1844—1848.","","",164,Аксаковы О. С.,1844|1848,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 1. М.—Пб., 1888.",1888,"переписка, отрывки",двусторонняя,"С. Т., О. С., О. С. Аксаковым. (164). 1844—1848.","","",164,Аксаковы О. С.,1844|1848,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 1. М.—Пб., 1888.",1888,отрывки,односторонняя,Д. А. Оболенскому. (6). 1839—1848.,"","",6,Оболенский Д. А.,1839|1848,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 2 . М.—Пб., 1888.",1888,переписка,двусторонняя,"К. С. Аксакову. (4). 1849—1850, 1850—1851.","","",4,Аксаков К. С.,1849|1850|1850|1851,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 2 . М.—Пб., 1888.",1888,переписка,двусторонняя,"С. Т., О. С. Аксаковым. (152). 1848—1851.","","",152,Аксаковы С. Т.,1848|1851,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 2 . М.—Пб., 1888.",1888,переписка,двусторонняя,"С. Т., О. С. Аксаковым. (152). 1848—1851.","","",152,Аксаковы О. С.,1848|1851,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 2 . М.—Пб., 1888.",1888,переписка,двусторонняя,А. А. Гвоздеву. (1). 22 февр. 1851.,"","",1,Гвоздев А. А.,1851,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 2 . М.—Пб., 1888.",1888,переписка,двусторонняя,Д. А. Перовскому. (4). 1850—1851.,"","",4,Перовский Д. А.,1850|1851,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 2 . М.—Пб., 1888.",1888,переписка,двусторонняя,Ю. Ф. Самарину. (1). 5 марта 1851.,"","",1,Самарин Ю. Ф.,1851,Q467630,Q2993112
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 3 . М.—Пб., 1892.",1892,переписка,одностороняя,К. С. Аксакову. (2). 1856—1860.,"","",2,Аксаков К. С.,1856|1860,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 3 . М.—Пб., 1892.",1892,переписка,одностороняя,О. С. Аксаковой. (23). 1860.,"","",23,Аксакова О. С.,1860,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 3 . М.—Пб., 1892.",1892,переписка,одностороняя,"С. Т., О. С. Аксаковым. (109). 1854—1856.","","",109,Аксаковы С. Т.,1854|1856,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 3 . М.—Пб., 1892.",1892,переписка,одностороняя,"С. Т., О. С. Аксаковым. (109). 1854—1856.","","",109,Аксаковы О. С.,1854|1856,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 3 . М.—Пб., 1892.",1892,переписка,одностороняя,Е. И. Елагиной. (6). 1856.,"","",6,Елагина Е. И.,1856,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 3 . М.—Пб., 1892.",1892,переписка,одностороняя,А. И. Кошелеву. (7). 1853—1855.,"","",7,Кошелев А. И.,1853|1855,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 3 . М.—Пб., 1892.",1892,переписка,одностороняя,Неизвестному. (4). 1861.,"","",4,Неизвестный ,1861,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 3 . М.—Пб., 1892.",1892,письмо,одностороняя,Д. А. Оболенскому. (1). 25 февр. 1855.,"","",1,Оболенский Д. А.,1855,Q467630,Q4329523
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 3 . М.—Пб., 1892.",1892,письмо,одностороняя,А. Ф. Орлову. (1). 1 сент. 1853.,"","",1,Орлов А. Ф.,1853,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 4. М.—Пб., 1896.",1896,переписка,двусторонняя,А. Д. Блудовой. (50). 1861—1862.,"","",50,Блудова А. Д.,1861|1862,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 4. М.—Пб., 1896.",1896,переписка,двусторонняя,Н. П. Гилярову-Платонову. (22). 1862—1886.,"","",22,Гиляров-Платонов Н. П.,1862|1886,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 4. М.—Пб., 1896.",1896,переписка,двусторонняя,Н. И. Костомарову. (1). 30 окт. 1861.,"","",1,Костомаров Н. И.,1861,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 4. М.—Пб., 1896.",1896,переписка,одностороняя,М. Ф. Раевскому. (62). 1858—1877.,"","",62,Раевский М. Ф.,1858|1877,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 4. М.—Пб., 1896.",1896,переписка,одностороняя,А. Ф. Тютчевой. (26). 1865.,"","",26,Тютчева А. Ф.,1865,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 4. М.—Пб., 1896.",1896,письмо,одностороняя,Д. Ф. Тютчевой. (1). 28 июля 1874.,"","",1,Тютчева Д. Ф.,1874,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Щукинский сборник, вып. 10. М., 1912, с. 228—234, 468—472.",1912,переписка,односторонняя,И. К. [И. К. Бабсту]. (7). 1866—1868.,"","",7, И. К.,1866|1868,,
"Аксаков, Иван Сергеевич","публицист, поэт","Щукинский сборник, вып. 10. М., 1912, с. 228—234, 468—472.",1912,переписка,односторонняя,Неизвестным. (12). 1878—1879.,"","",12,Неизвестные ,1878|1879,,
"Аксаков, Иван Сергеевич","публицист, поэт","Славянский сборник. М., 1948, с. 125, 129, 130. (Тр. Отдела рукописей Б-ки СССР им. В. И. Ленина.)",1948,отрывки,односторонняя,Н. Герову. (?). 1877.,"","",?,Геров Н.,1877,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Славянский сборник. М., 1948, с. 125, 129, 130. (Тр. Отдела рукописей Б-ки СССР им. В. И. Ленина.)",1948,отрывок,односторонняя,М. Н. Каткову. (1). 9 авг. 1877.,"","",1,Катков М. Н.,1877,Q467630,Q441628
"Аксаков, Иван Сергеевич","публицист, поэт","Славянский сборник. М., 1948, с. 125, 129, 130. (Тр. Отдела рукописей Б-ки СССР им. В. И. Ленина.)",1948,отрывки,односторонняя,В. А. Черкасскому. (2). 19 марта—25 апр. 1877.,"","",2,Черкасский В. А.,19|1877,,
"Аксаков, Иван Сергеевич","публицист, поэт","Уч. зап. Ин-та славяноведения, 1948, т. I, с. 23, 26, 30, 35.",1948,отрывок,односторонняя,А. Д. Блудовой. (1). 20 дек. 1857.,"","",1,Блудова А. Д.,1857,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Уч. зап. Ин-та славяноведения, 1948, т. I, с. 23, 26, 30, 35.",1948,отрывок,односторонняя,Е. П. Ковалевскому. (1). 29 янв. 1861.,"","",1,Ковалевский Е. П.,1861,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Уч. зап. Ин-та славяноведения, 1948, т. I, с. 23, 26, 30, 35.",1948,отрывок,односторонняя,В. И. Ламанскому. (1). 27 окт. 1858.,"","",1,Ламанский В. И.,1858,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Уч. зап. Ин-та славяноведения, 1948, т. I, с. 23, 26, 30, 35.",1948,отрывок,односторонняя,Ф. Ф. Чижову. (1). 27 апр. 1866.,"","",1,Чижов Ф. Ф.,1866,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. ст., 1902, № 8, с. 269—272.",1902,переписка,односторонняя,М. В. Авдееву. (2). 26 июля 1852—22 дек. 1853.,"","",2,Авдеев М. В.,1852|1853,,
"Аксаков, Иван Сергеевич","публицист, поэт","Ист. вест, 1916, № 9, с. 701—702.",1916,письмо,одностороняя,Д. В. Аверкиеву. (1). 22 авг. 1881.,"","",1,Аверкиев Д. В.,1881,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. ст., 1887, № 8, с. 423—430.",1887,письмо,одностороняя,П. Агапееву. (1). 15 авг. 1863.,"","",1,Агапеев П.,15|1863,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1907, № 9, с. 141—144.",1907,переписка,односторонняя,М. С. Аксаковой-Томашевской. (2). 1885.,"","",2,Аксакова-Томашевская М. С.,1885,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Лит. насл., 1952, т. 58, с. 582—583.",1952,отрывок,одностороняя,К. С. Аксакову. (1). 8 марта 1840.,"","",1,Аксаков К. С.,1840,Q467630,Q722730
"Аксаков, Иван Сергеевич","публицист, поэт","Лит. насл., 1952, т. 58, с. 582—600, 738.",1952,отрывки,одностороняя,С. Т. Аксакову. (12). 1840—1841.,"","",12,Аксаков С. Т.,1840|1841,,
"Аксаков, Иван Сергеевич","публицист, поэт","Плоткин Л. А. Писарев и литературно-общественное движение шестидесятых годов. Л.—М., АН СССР, 1945, с. 19.",1945,отрывок,одностороняя,С. Т. Аксакову. (1). 25 янв. 1856.,"","",1,Аксаков С. Т.,1856,Q467630,Q315188
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. ст., 1897, № 12, с. 455.",1897,отрывок,одностороняя,С. Т. Аксакову. (1). 5 сент. 1857.,"","",1,Аксаков С. Т.,1857,Q467630,Q315188
"Аксаков, Иван Сергеевич","публицист, поэт","Лит. насл., 1950, т. 56, с. 123.",1950,отрывок,одностороняя,С. Т. Аксаковым. (1). 2 февр. 1839.,"","",1,Аксаковы С. Т.,1839,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Лит. насл., 1950, т. 56, с. 139—140.",1950,отрывок,одностороняя,"С. Т., О. С. Аксаковым. (1). 28 апр. 1840.","","",1,Аксаковы С. Т.,1840,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Лит. насл., 1950, т. 56, с. 139—140.",1950,отрывок,одностороняя,"С. Т., О. С. Аксаковым. (1). 28 апр. 1840.","","",1,Аксаковы О. С.,1840,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1915, № 9—10, с. 63—64.",1915,письмо,одностороняя,Н. Н. Анке. (1). 9 авг. 1878.,"","",1,Анке Н. Н.,1878,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Звенья, т. II. М.—Л., «Academia», 1933, с. 277.",1933,письмо,одностороняя,П. И. Бартеневу. (1). 1874.,"","",1,Бартенев П. И.,1874,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1909, № 5, с. 145—149.",1909,переписка,одностороняя,П. И. Бартеневу. (5). 1859—1878.,"","",5,Бартенев П. И.,1859|1878,,
"Аксаков, Иван Сергеевич","публицист, поэт","Белинский В. А. Провинциальный публицист-мечтатель. Сборник газетных и журнальных статей (за время с 1876 по 1893 г.). Пб., 1894, с. 269-270.",1894,письмо,одностороняя,В. А. Белинскому. (1). 7 окт. 1880.,"","",1,Белинский В. А.,1880,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1915, № 6, с. 130—132.",1915,письмо,одностороняя,А. Д. Блудовой. (1). 31 окт.—12 ноября 1860.,"","",1,Блудова А. Д.,12|1860,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. ст., 1887, № 9, с. 577—585.",1887,переписка,одностороняя,Ф. Боденштедту. (8). 1860—1861.,"","",8,Боденштедт Ф.,1860|1861,,
"Аксаков, Иван Сергеевич","публицист, поэт","Новое вр., 1901, № 9003, 22 марта.",1901,переписка,одностороняя,В. П. Безобразову. (6). 1857—1858.,"","",6,Безобразов В. П.,1857|1858,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1902, № 3, с. 571—573.",1902,переписка,одностороняя,И. Е. Великопольскому. (2). 1859—1862.,"","",2,Великопольский И. Е.,1859|1862,,
"Аксаков, Иван Сергеевич","публицист, поэт","Ежегодник Коллегии Павла Галагана. Киев, 1902, с. 403—409.",1902,переписка,одностороняя,Г. П. Галагану. (4). 1854—1876.,"","",4,Галаган Г. П.,1854|1876,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1902, № 2, с. 362—365; № 7, с. 492—499.",1902,переписка,одностороняя,Г. П. Галагану. (4). 1879—1885.,"","",4,Галаган Г. П.,1879|1885,,
"Аксаков, Иван Сергеевич","публицист, поэт","Письма к Вячеславу Ганке из славянских земель. Варшава, В. А. Францев, 1905, с. 3—9.",1905,переписка,одностороняя,В. В. Ганке. (3). 1858—1870.,"","",3,Ганка В. В.,1858|1870,,
"Аксаков, Иван Сергеевич","публицист, поэт","Вольное слово, 1883, № 60, с. 4—5.",1883,письмо,одностороняя,А. И. Герцену. (1). 16/28 окт. 1857.,"","",1,Герцен А. И.,16|1857,,
"Аксаков, Иван Сергеевич","публицист, поэт","Konstantin Kawelin und Ivan Turgenjevs Sozial-politischer Briefwechsel mit Alexander Jw. Herzen. Stuttgardt, 1894, c. 163—175.",1894,переписка,одностороняя,А. И. Герцену. (5). 1857—1861.,"","",5,Герцен А. И.,1857|1861,,
"Аксаков, Иван Сергеевич","публицист, поэт","Герцен А. И. Полное собрание сочинений и писем, т. IX. Пг., 1919, с. 156; т. XVI. Пг., ГИЗ, 1920, с. 376—382.",1919; 1920,переписка,одностороняя,А. И. Герцену. (2). Б. д.,"","",2,Герцен А. И.,,,
"Аксаков, Иван Сергеевич","публицист, поэт","Мурановский сборник, вып. 1. Мураново, Музей им. поэта Ф. И. Тютчева, 1928, с. 91, 101—104.",1928,переписка,одностороняя,А. И. Герцену. (2). 1860—7 июня 1861.,"","",2,Герцен А. И.,1860|1861,,
"Аксаков, Иван Сергеевич","публицист, поэт","Лит. насл., 1935, т. 19—21, с. 253—256.",1935,письмо,одностороняя,А. Ф. Гильфердингу. (1). 12 ноября 1870.,"","",1,Гильфердинг А. Ф.,12|1870,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. ст., 1890, № 2, с. 426—427.",1890,письмо,одностороняя,Н. В. Гоголю. (1). 5 июня 1844.,"","",1,Гоголь Н. В.,1844,Q467630,Q43718
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. ст., 1903, № 5, с. 261—266.",1903,переписка,одностороняя,К. Ф. Головину. (5). 1884.,"","",5,Головин К. Ф.,1884,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1913, № 1, с. 93—111; № 2, с. 181—204. ",1913,переписка,двустронняя,П. Д. Голохвастову. (13). 1882.,"","",13,Голохвастов П. Д.,1882,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. филолог. вест., 1915, № 3, с. 13—15.",1915,переписка,одностороняя,К. К. Гроту. (2). 20 апр. 1877 — 5 авг. 1878.,"","",2,Грот К. К.,1877|1878,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. филолог. вест., 1915, № 3, с. 13.",1915,письмо,одностороняя,Я. К. Гроту. (1). 14 июня 1863.,"","",1,Грот Я. К.,14|1863,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1906, № 6, с. 275—277.",1906,переписка,одностороняя,Я. К. Гроту. (3). 1863—1876.,"","",3,Грот Я. К.,1863|1876,,
"Аксаков, Иван Сергеевич","публицист, поэт","Багалей Д. И. Материалы для биографий южно-русских научно-литературных деятелей XIX века. I. Письма к Г. П. Данилевскому. Киев, 1903, с. 56—61",1903,переписка,одностороняя,Г. П. Данилевскому. (4). 1853—1863.,"","",4,Данилевский Г. П.,1853|1863,,
"Аксаков, Иван Сергеевич","публицист, поэт","Данилевский М. Г. Г. П. Данилевский по личным его письмам и литературной переписке. Харьков, 1893, с. 29—30, 50—52.",1893,переписка,одностороняя,Г. П. Данилевскому. (3). 1859.,"","",3,Данилевский Г. П.,1859,Q467630,Q1968651
"Аксаков, Иван Сергеевич","публицист, поэт","Новое вр., 1909, № 12104, 28 ноября; № 12111, 28 ноября.",1909,переписка,одностороняя,Ф. М. Достоевскому. (4). 1880.,"","",4,Достоевский Ф. М.,1880,Q467630,Q991
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1904, № 1, с. 190",1909,письмо,одностороняя,А. П. Елагиной. (1). Б. д.,"","",1,Елагина А. П.,,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1909, № 5, с. 149—151.",1909,письмо,одностороняя,В. А. Елагину. (1). 20 ноября 1878.,"","",1,Елагин В. А.,1878,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1915, № 1, с. 5—13",1915,переписка,одностороняя,Н. А. Елагину. (4). 1861.,"","",4,Елагин Н. А.,1861,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Науч. доклады Высш. шк. филолог. науки, 1959, № 4, с. 138.",1959,отрывок,одностороняя,А. М. Жемчужникову. (1). Б. д.,"","",1,Жемчужников А. М.,,,
"Аксаков, Иван Сергеевич","публицист, поэт","Отчет имп. Публ. б-ки за 1885 год. Пб., 1888, прилож, с. 4—7.",1888,письмо,одностороняя,Е. П. Ковалевскому. (1). 4 ноября 1858.,"","",1,Ковалевский Е. П.,1858,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Трубецкая.Ф. Материалы для биографии кн. Б. А. Черкасского, т. I, кн. 1. М., 1901, с. 167—169ю",1901,письмо,одностороняя,Е. П. Ковалевскому. (1). ?.,"","",1,Ковалевский Е. П.,,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1906, № 12, с. 537—543.",1906,переписка,двустронняя,Н. И. Костомарову. (1). 30 окт. 1861.,"","",1,Костомаров Н. И.,1861,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Штиглиц А. Н. Памяти Ивана Сергеевича Аксакова. Пб., 1907, с. 20—23.",1907,переписка,двустронняя,Н. И. Костомарову. (1). 30 окт. 1861.,"","",1,Костомаров Н. И.,1861,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Колюпанов Н. Биография Александра Ивановича Кошелева, т. II. М., 1892, с. 41—73, отд. прилож.",1892,переписка,двустронняя,А. И. Кошелеву. (3). 1852—1853.,"","",3,Кошелев А. И.,1852|1853,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. мысль, 1916, № 9, с. 1—32; № 12, с. 85—114; 1917, № 2, с. 82—89; № 3—4, с. 56—70. ",1916,переписка,двустронняя,В. И. Ламанскому. (24). 1858—1862.,"","",24,Ламанский В. И.,1858|1862,,
"Аксаков, Иван Сергеевич","публицист, поэт","Ист. вест, 1916, № 3, с. 787—790, 792—793, 801—803",1916,переписка,одностороняя,Н. С. Лескову. (6). 1874—1884.,"","",6,Лесков Н. С.,1874|1884,,
"Аксаков, Иван Сергеевич","публицист, поэт","Лесков Н. Собрание сочинений, т. XI, М., Гослитиздат, 1958, с. 668.",1958,письмо,одностороняя,Н. С. Лескову. (1). ?.,"","",1,Лесков Н. С.,,,
"Аксаков, Иван Сергеевич","публицист, поэт","Вятские вед., 1886, № 11, 5 февр, с. 3.",1886,переписка,одностороняя,Макарию (епископу Вятскому). (2). 30 мая—22 сент. 1877.,"","",2,Макарий ,1877,Q467630,Q130159
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1908, № 3, с. 354—362.",1908,переписка,одностороняя,М. А. Максимовичу. (5). 1858—1862.,"","",5,Максимович М. А.,1858|1862,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. обозр., 1894, № 6, с. 809—811.",1894,письмо,одностороняя,Н. П. Маркову. (1). 7 дек. 1861.,"","",1,Марков Н. П.,1861,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. вест., 1889, № 2, с. 357—358.",1889,письмо,одностороняя,С. Г. Мей. (1). 23 окт. 1863.,"","",1,Мей С. Г.,1863,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Ист. вест., 1886, № 8, с. 373—377",1886,отрывки,одностороняя,А. Молчанову. (5). 1885.,"","",5,Молчанов А.,1885,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1891, № 5, с. 90—99.",1891,письмо,одностороняя,Неизвестной. (1). 14 июня 1880.,"","",1,Неизвестная ,14|1880,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1901, № 6, с. 297—299.",1901,письмо,одностороняя,Неизвестному. (1). 5 апр. 1861.,"","",1,Неизвестный ,1861,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Щукинский сборник, вып. 10. М., 1912, с. 228—234.",1912,переписка,одностороняя,Неизвестному. (8). 1866—1868.,"","",8,Неизвестный ,1866|1868,,
"Аксаков, Иван Сергеевич","публицист, поэт","Бороздин А. К. Литературные характеристики. Девятнадцатый век. Т. II, вып. I. Пб., М. В. Пирожков, 1905, с. 293—298.",1905,письмо,одностороняя,Неизвестному. (1). Б. д.,"","",1,Неизвестный ,,,
"Аксаков, Иван Сергеевич","публицист, поэт","Биография, письма и заметки из записной книжки Ф. М. Достоевского. Пб., 1883, отд. 2, с. 344.",1883,отрывок,одностороняя,Неизвестному. (1). 28 авг. 1883.,"","",1,Неизвестный ,1883,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Лит. насл., 1949, т. 51—53, с. 95.",1949,письмо,одностороняя,Н. А. Некрасову. (1). 12 дек. 1873.,"","",1,Некрасов Н. А.,12|1873,,
"Аксаков, Иван Сергеевич","публицист, поэт","Уч. зап. Шуйского пед. ин-та, 1958, вып.7, с. 148.",1958,письмо,одностороняя,Ф. Д. Нефедову. (1). 22 ноября 1866.,"","",1,Нефедов Ф. Д.,1866,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. обозр., 1895, № 8, с. 838—839, № 9, с. 338—340.",1895,переписка,одностороняя,О. А. Новиковой. (3). 1875—1884.,"","",3,Новикова О. А.,1875|1884,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1903, № 1, с. 608—609.",1903,переписка,одностороняя,Д. Е. Остен-Сакену. (2). 1877.,"","",2,Остен-Сакен Д. Е.,1877,Q467630,Q709419
"Аксаков, Иван Сергеевич","публицист, поэт","Лит. насл., 1949, т. 51—52, с. 95.",1949,письмо,одностороняя,ред. «Отечественных записок». (1). 12 дек. 1873.,"","",1,ред. «Отечественных записок» ,12|1873,,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив, 1887, № 8, с. 469—494.",1887,переписка,двустронняя,Н. М. Павлову. (7). 1878.,"","",7,Павлов Н. М.,1878,Q467630,Q4341535
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. филолог. вест., 1915, № 3, с. 5—12.",1915,переписка,одностороняя,П. А. Плетневу. (5). 1846.,"","",5,Плетнёв П. А.,1846,Q467630,Q2993843
"Аксаков, Иван Сергеевич","публицист, поэт","Кр. архив, 1928, т. VI, с. 144—154.",1928,письмо,одностороняя,К. П. Победоносцеву. (1). 2 дек. 1870.,"","",1,Победоносцев К. П.,1870,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Рус. архив 1894, № 1, с. 103—104; 1907, № 10, с. 163—192.",1894,переписка,одностороняя,К. П. Победоносцеву. (20). 1876—1885.,"","",20,Победоносцев К. П.,1876|1885,,
