"source_id";"source_full";"source_year";"title";"n_vol";"place"
72;"Рус. обозр., 1894, № 6, с. 809—811.";"1894";"";"";""
73;"Лесков Н. Собрание сочинений, т. XI, М., Гослитиздат, 1958, с. 668.";"1958";"";"";""
74;"Ист. вест, 1916, № 3, с. 787—790, 792—793, 801—803";"1916";"";"";""
75;"Рус. обозр., 1897, №№ 2—12.";"1897";"";"";""
76;"Рус. архив, 1891, № 5, с. 90—99.";"1891";"";"";""
77;"Биография, письма и заметки из записной книжки Ф. М. Достоевского. Пб., 1883, отд. 2, с. 344.";"1883";"";"";""
78;"Рус. архив, 1901, № 6, с. 297—299.";"1901";"";"";""
79;"Бороздин А. К. Литературные характеристики. Девятнадцатый век. Т. II, вып. I. Пб., М. В. Пирожков, 1905, с. 293—298.";"1905";"";"";""
80;"Щукинский сборник, вып. 10. М., 1912, с. 228—234.";"1912";"";"";""
81;"Рус. обозр., 1895, № 8, с. 838—839, № 9, с. 338—340.";"1895";"";"";""
82;"Сев. вест., 1893, № 1, отд. I, с. 236—237.";"1893";"";"";""
83;"Рус. филолог. вест., 1915, № 3, с. 5—12.";"1915";"";"";""
84;"Рус. ст., 1887, № 8, с. 423—430.";"1887";"";"";""
85;"Рус. архив, 1913, № 1, с. 93—111; № 2, с. 181—204.";"1913";"";"";""
86;"Звенья, т. II. М.—Л., «Academia», 1933, с. 277.";"1933";"";"";""
87;"Рус. архив, 1909, № 5, с. 145—149.";"1909";"";"";""
88;"Ст. и новизна, 1905, № 9, с. 369—370.";"1905";"";"";""
89;"Лит. насл., 1949, т. 51—52, с. 95.";"1949";"";"";""
90;"Рус. вест., 1889, № 2, с. 357—358.";"1889";"";"";""
91;"Новое вр., 1909, № 12118, 5 дек. (прилож.).";"1909";"";"";""
92;"Письма И. С. Аксакова, Н. П. Барсукова, П. С. Билярского [и др.] к библиографу С. И. Пономареву. М.—Л., Э. Бухгейм, 1915. с. 140—144.";"1915";"";"";""
93;"Рус. архив, 1903, № 1, с. 609.";"1903";"";"";""
94;"Плоткин Л. А. Писарев и литературно-общественное движение шестидесятых годов. Л.—М., АН СССР, 1945, с. 19.";"1945";"";"";""
95;"Рус. ст., 1897, № 12, с. 455.";"1897";"";"";""
96;"Лит. насл., 1952, т. 58, с. 582—600, 738.";"1952";"";"";""
97;"Лит. насл., 1950, т. 56, с. 123.";"1950";"";"";""
98;"Лит. насл., 1950, т. 56, с. 139—140.";"1950";"";"";""
99;"Рус. вест., 1888, № 9, с. 425—426.";"1888";"";"";""
100;"Рус. ст., 1887, № 9, с. 577—585.";"1887";"";"";""
101;"Уч. зап. Шуйского пед. ин-та, 1958, вып. 7, с. 146—163.";"1958";"";"";""
102;"Лит. насл., 1935, т. 19—21, с. 587—602.";"1935";"";"";""
103;"Новое вр., 1909, № 12104, 28 ноября; № 12111, 28 ноября.";"1909";"";"";""
104;"Рус. филолог. вест., 1915, № 3, с. 13.";"1915";"";"";""
105;"Рус. архив, 1906, № 6, с. 275—277.";"1906";"";"";""
106;"Колюпанов Н. Биография Александра Ивановича Кошелева, т. П.—М., 1892, прилож. с. 47—53.";"1892";"";"";""
107;"Лит. насл., 1952, т. 58, с. 548—552, 562—574, 581, 582, 622—626, 707, 708, 715, 716, 724, 802—804.";"1952";"";"";""
108;"Колюпанов Н. Биография Александра Ивановича Кошелева, т. II. М., 1892, отд. прилож, с. 69—73.";"1892";"";"";""
109;"Русь, 1883, № 3, с. 34—36.";"1883";"";"";""
110;"Лит. насл., 1950, т. 56, с. 103—129, 140—168, 179.";"1950";"";"";""
111;"Трубецкая О. Материалы для биографии князя В. А. Черкасского, т. 1, кн. 2. М., 1904, с. 115—123.";"1904";"";"";""
112;"Тр. Всесоюз. б-ки им. Вл. И. Ленина, 1939, вып. 4, с. 202—207.";"1939";"";"";""
113;"Богословский вест., 1915, № 9, с. 9—40; 1916, № 9, с. 27—58; 1917, № 4—5, с, 646.";"1915—1917";"";"";""
114;"Cosmopolis, 1898, №№ 1—12.";"1898";"";"";""
115;"Багалей Д. И. Материалы для биографий южно-русских научно-литературных деятелей XIX века. I. Письма к Г. П. Данилевскому. Киев, 1903, с. 55.";"1903";"";"";""
116;"Данилевский М. Г. Г. П. Данилевский по личным его письмам и литературной переписке. Харьков, 1893, с. 16, 17, 22, 23.";"1893";"";"";""
117;"Иван Сергеевич Аксаков в его письмах, т. II. М., 1888, с. 143—144.";"1888";"";"";""
118;"Письма С. Т , К. С. и И. С. Аксаковых к И. С. Тургеневу. М., 1894.";"1894";"";"";""
119;"Киевск. ст., 1883, № 4, с. 834—835";"1883";"";"";""
120;"Иван Сергеевич Аксаков в его письмах, т. IV. Пб., Публ. б-ка, 1896, с. 92.";"1860";"";"";""
121;"Рус. архив, 1904, № 3, с. 518";"1904";"";"";""
122;"Лит. насл., 1952, т. 58, с. 726";"1952";"";"";""
123;"Венгеров С. А. Собрание сочинений, т. III. Пб., «Прометей», 1912, с. 85—86.";"1912";"";"";""
124;"Рус. архив, 1890, № 8, с. 85—88";"1890";"";"";""
125;"Аксаков С. Т. Собрание сочинений, т. III. М., Гослитиздат, 1956, с. 246—249, 367—369";"1956";"";"";""
126;"Рус. архив, 1890, № 1, с. 139—159.";"1890";"";"";""
127;"Рус. обозр, 1897, № 3 , с. 146—157";"1897";"";"";""
128;"Смирнов В. Д. Аксаковы, их жизнь и литературная деятельность. Биографические очерки. Пб., 1895, с. 46—47.";"1895";"";"";""
129;"Лит. насл., 1950, т. 56, с. 122.";"1950";"";"";""
130;"Рус. архив, 1910, № 1, с. 134—160; № 2, с. 221—242.";"1910";"";"";""
131;"Остафьевский архив князей Вяземских, т. V, вып. 1. Пб., С. Д. Шереметев, 1909, с. 154—157.";"1909";"";"";""
132;"Pуc. архив, 1904, № 7, с. 450—452.";"1904";"";"";""
133;"Рус. архив, 1896, № 1, с. 142—143.";"1896";"";"";""
134;"Свободное сл., 1883, № 60.";"1883";"";"";""
135;"Аксаков С. Т. Семейная хроника. Детские годы Багрова-внука. М, Гослитиздат, 1958, с. 6—7, 12, 15.";"1958";"";"";""
136;"Рус. архив, 1896, № 1, с. 142—160.";"1896";"";"";""
137;"Рус. Архив, 1904, № 1, с. 190.";"1904";"";"";""
138;"Иван Сергеевич Аксаков в его письмах, т. II, ч. 1. М, 1888, с. 146.";"1888";"";"";""
139;"Рус. архив, 1898, № 5, с. 89—90.";"1898";"";"";""
140;"Изв. АН СССР, Отд. лит. и яз., 1959, т. XVIII, № 3, с. 250.";"1959";"";"";""
141;"Жизнь замечательных людей в Казани, кн. 2. Казань, Татгосизлат, 1940, с. 167.";"1940";"";"";""
142;"Недра, кн. 2. М., 1923, с. 283—285.";"1923";"";"";""
143;"Багалей Д. И. Материалы для биографий южно-русских научно-литературных деятелей XIX века. I. Письма к Г. П. Данилевскому. Киев, 1903, с. 54—55.";"1903";"";"";""
144;"Лит. насл., 1952, т. 58, с. 558—622, 666—734, 806, 807.";"1952";"";"";""
145;"Рус. архив, 1894, № 2, с. 220—221.";"1894";"";"";""
146;"Рус. архив, 1898, № 5, с. 91—93";"1898";"";"";""
147;"Рус. архив, 1903, № 1, с. 608.";"1903";"";"";""
148;"Лит. вест, 1902, № 1, с. 13—15.";"1902";"";"";""
149;"Огонек, 1951, № 37, с. 19";"1951";"";"";""
150;"Рус. архив, 1910, № 1, с. 301—303.";"1910";"";"";""
151;"Рус. мысль, 1915, № 8, с. 110—131.";"1915";"";"";""
152;"Н. В. Гоголь. Материалы и исследования, т. I. Л.—М., АН СССР, 1936, с. 178—180, 183—187, 212—219.";"1936";"";"";""
153;"Аксаков С. Т. Собрание сочинений, т. III. М., Гослитиздат, 1956, с. 191—192, 226—388.";"1956";"";"";""
154;"Ист. вест., 1888, № 2, с. 327—333";"1888";"";"";""
155;"Иван Сергеевич Аксаков в его письмах, т. I. М., 1888, с. 249—251, 280—433; т. II, с. 25, 58, 110—217, 267—304, 356—380, 406-407; т. III. М., 1892, с. VI—VII, 11-60, 95, 158—163, 214—237, 242, 313—318, 335-341.";"1888";"";"";""
156;"Письма С. Т , К. С. и И. С. Аксаковых к И. С. Тургеневу. М., 1894, 152 с.";"1894";"";"";""
157;"Рус. худож. архив, 1892, № 2, с. 52—56 ; № 3, с. 129—135.";"1892";"";"";""
158;"Лит. насл., 1950, т. 56, с. 112—116, 130—135, 141, 144—146.";"1950";"";"";""
159;"Киевская ст., 1883, № 4, с. 829—840.";"1883";"";"";""
160;"Лит. вест., 1902, № 1, с. 61—62.";"1902";"";"";""
161;"Лит. насл., 1934, т. 16—18, с. 679—724.";"1934";"";"";""
162;"Рус. архив, 1904, № 1, с. 517";"1904";"";"";""
163;"Козьмин Н. К. Н. И. Надеждин. Жизнь и научно-литературная деятельность. Пб., 1912, с. 482. 483, 489, 490";"1912";"";"";""
164;"Лит. вест, 1901, № 4, с. 437—438";"1901";"";"";""
165;"Печать и рев, 1925, № 5—6, с. 173—175";"1925";"";"";""
166;"Совр. 1913, № 2, с. 224—226.";"1913";"";"";""
167;"Литературные портфели, вып. 1. Пб., «Атеней», 1923, с. 11—18";"1923";"";"";""
168;"Рус. филолог. вест., 1915, № 3, с. 1—5.";"1915";"";"";""
169;"Иван Сергеевич Аксаков в его письмах, т. II, ч. 1. М., 1888, с. 145—146.";"1888";"";"";""
170;"Н. В. Гоголь. Материалы и исследования. Т. I. Л—М., АН СССР, 1936, с. 156—158, 160—163, 191—196, 215, 216";"1936";"";"";""
171;"Рус. архив, 1878, № 5, с. 49—54.";"1878";"";"";""
172;"Рус. архив, 1878, № 5, с. 47—66.";"1878";"";"";""
173;"Рус. обозр., 1894, №№ 8— 12; также отд. оттиск: М., 1894, 152 с.";"1894";"";"";""
174;"Иван Сергеевич Аксаков в его письмах, т. 4. М.—Пб., 1896. (приложения).";"1896";"";"";""
175;"Рус. ст., 1870, № 1, с. 57—62.";"1870";"";"";""
176;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил.";"1996";"";"";""
177;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье, 1997. — 532 с.; ил.";"1997";"";"";""
178;"Неизданные письма к А. Н. Островскому. М.—Л., «Academia», 1932, с. 10—15.";"1932";"";"";""
179;"Рус. обозр, 1894, № 9, с. 375.";"1894";"";"";""
180;"Горбунов И. Ф. Сочинения, т. III. Пб., 1907.";"1907";"";"";""
181;"Писемский А. Ф. Письма. М.—Л., АН СССР, 1936, с. 650.";"1936";"";"";""
182;"Москв., 1851, № 8, кн. 2, отд. II, с. 391";"1851";"";"";""
183;"Барсуков Н. Жизнь и труды Погодина, т. XI. Пб, 1897, с. 381, 382, 386—388; т. XII. Пб., 1898, с. 35, 212—220; т. XVI. Пб, 1902, с. 369—372.";"1897—1902";"";"";""
184;"Глеб Успенский. Материалы и исследования. Т. I. М.—Л., АН СССР, 1938, с. 255—353. (Ин-т рус. лит-ры).";"1938";"";"";""
185;"Уч. зап. Ивановского пед. ин-та, 1958, т. XIII, вып. 4, с. 156.";"1958";"";"";""
186;"Чехов А. П. Полное собрание сочинений и писем, т. XIV. М., Гослитиздат, 1949, с. 492; т. XVI. М., 1949, с. 429.";"1949";"";"";""
187;"История русской литературы, т. IX, ч. 2. М.—Л., АН СССР, 1956, с. 256. (Ин-т рус. лит-ры)";"1956";"";"";""
188;"Нов., 1885, № 85, 29 марта, с. 3.";"1885";"";"";""
189;"Записки Отдела рукописей Государственной библиотеки СССР им. В. И. Ленина, 1941, вып. 8. А. П. Чехов, с. 29—108.";"1941";"";"";""
190;"Н. Г. Чернышевский. Литературное наследие, тт. II—III. М.—Л., ГИЗ, 1928—1930.";"1928—1930";"";"";""
191;"Утевский Л. С. Смерть Тургенева. Пб., «Атеней», 1923, с. 49, 79.";"1923";"";"";""
192;"Лит. насл., 1952, т. 58, с. 300.";"1952";"";"";""
193;"Лит. насл., 1949, т. 51—52, с. 102.";"1949";"";"";""
194;"Письма А. В. Дружинину. (1850-1863). М., 1948, с. 26—29. (Летописи Гослитмузея, № 9)";"1948";"";"";""
195;"Рус. ст., 1883, № 10, с. 239.";"1883";"";"";""
196;"Письма К. Дм. Кавелина и Ив. С. Турнева к Ал. И. Герцену. Женева, 1892, с. 117—118.";"1892";"";"";""
197;"Рус. мысль, 1892, № 7, отд. I, с. 98—100.";"1892";"";"";""
198;"Вест. Евр., 1916, № 10, с. 72—73.";"1916";"";"";""
199;"Лит. насл. 1951, т. 57, с. 308.";"1951";"";"";""
200;"Лит. насл., 1959, т. 67, с. 539—554.";"1959";"";"";""
201;"Рус. мысль, 1911, № 3, отд. II, с. 106—107.";"1911";"";"";""
202;"Ист. сборник, вып. 4. М—Л., АН СССР, 1935, с. 245—258.";"1935";"";"";""
203;"Рус. архив, 1875, № 1, с. 455.";"1875";"";"";""
204;"Новь, 1888, № 20, с. 199—205.";"1888";"";"";""
205;"Белинский В. Г. Письма, т. III. Ред. и прим. Е. А. Ляцкого. Пб., 1914, с. 368, 386.";"1914";"";"";""
206;"И. С. Тургенев. Материалы и исследования. Орел, 1940, с. 57—58";"1940";"";"";""
207;"Ф. М. Достоевский и И. С. Тургенев. Переписка. Л., «Academia», 1928, с. 176—177. (Памятники лит. быта)";"1928";"";"";""
208;"Печать и рев., 1928, № 7, с. 63, 64, 66—69.";"1928";"";"";""
209;"Рус. ст., 1898, № 1, с. 87—88.";"1898";"";"";""
210;"Лит. насл., 1950, т. 56, с. 195, 198.";"1950";"";"";""
211;"Лит. насл., 1952, т. 58, с. 605—606.";"1952";"";"";""
212;"Лит. насл. 1950, т. 50, с. 182, 190—194.";"1950";"";"";""
213;"Модзалевский Б. Л. Пушкин. Л., «Прибой», 1929, с. 291—303.";"1929";"";"";""
214;"Лит. насл., 1948, т. 55, с. 432.";"1948";"";"";""
215;"Рус. лит-ра, 1958, № 1, с. 147—149.";"1958";"";"";""
216;"Щукинский сборник, вып. 6. М., 1907, с. 435—436.";"1907";"";"";""
217;"Достоевский Ф. М. и Тургенев И. С. Переписка. Л., «Academia», 1928, с. 66, 73, 74, 75, 80, 82, 86—88, 104, 112, 113.";"1928";"";"";""
218;"Лит. мысль, кн. 1. Пг., 1922, с. 188—207.";"1922";"";"";""
219;"И. С. Тургеневу (2). 1874.— Лит. насл., 1959, т. 67, с. 542, 554 (подстроч. прим.).";"1874";"";"";""
220;"И. С. Тургенев. Сборник. Под ред. Н. Л. Бродского. М., 1940, с. 31, 77—78. (Б-ка СССР им. В. И. Ленина).";"1940";"";"";""
221;"Рус. обозр., 1898, №№ 3—5.";"1898";"";"";""
222;"Письма С. Т., К. С. и И. С. Аксаковых к И. С. Тургеневу с введ. и прим. Л. Майкова. М., 1894, с. 87—90, 93—95.";"1894";"";"";""
223;"Тр. Публ. б-ки СССР им. В. И. Ленина, 1934, вып. 3, с. 47—176, 275—279.";"1934";"";"";""
224;"Маркс К. и Энгельс Ф. Перелиска с русскими политическими деятелями. М., Госполитиздат, 1951, с. 9—10, 21—23.";"1951";"";"";""
225;"Рязанов Д. Карл Маркс и русские люди сороковых годов. Пг., 1918, с. 83—93.";"1918";"";"";""
226;"Полное собрание сочинений, т. XII. М., АН СССР, 1956, с. 382.";"1956";"";"";""
227;"Полное собрание сочинений, т. XIX, кн. 2. М., Гослитиздат, 1939, с. 425.";"1939";"";"";""
228;"М. М. Стасюлевич и его современники в их переписке, т. III. Пб, 1912, с. 292—451.";"1912";"";"";""
229;"Рус. вест., 1896, № 12, с. 42—52.";"1896";"";"";""
230;"Вест. Евр., 1916, № 10, с. 682—683.";"1916";"";"";""
231;"Лит. насл., 1949, т. 51—52, с. 96-102.";"1949";"";"";""
232;"Архив, Н. А. и Н. П. Огаревых. М.—Л., ГИЗ, 1930, с. 170—172, 176, 205, 243, 244.";"1930";"";"";""
233;"Н. В. Гоголь. Материалы и исследования. Т. I. Под ред. В. В. Гиппиуса. М.—Л., АН СССР, 1936, с. 127—220, 285—306, 313—347. (Ин-т рус. лит-ры).";"1936";"";"";""
234;"Рус. вест. 1891, № 6, с. 346—350.";"1891";"";"";""
235;"Модзалевский Б. Л. Пушкин. Л., «Прибой», 1929, с. 308—309";"1929";"";"";""
236;"Модзалевский Б. Л. Пушкин. Л., «Прибой», 1929, с. 298.";"1929";"";"";""
237;"Архив В. А. Гольцева, т. I. М., «Кн-во писателей в М.», 1914, 316 с. (Матер. для ист. рус. журналистики).";"1914";"";"";""
238;"Лит. насл., 1951, т. 57, с. 325.";"1951";"";"";""
239;"Лит. насл., 1936, т. 25—26, с. 684—686.";"1936";"";"";""
240;"Лит. насл., 1936, т. 25—26, с. 690.";"1936";"";"";""
241;"Лит. насл., 1936, т. 25—26, с. 690—691.";"1936";"";"";""
242;"Лит. насл., 1936, т. 25—26, с. 686—687.";"1936";"";"";""
243;"Лит. насл., 1936, т. 25—26, с. 389";"1936";"";"";""
244;"Н. Г. Чернышевский. Литературное наследие, т. 111. М.—Л., ГИЗ, 1930, с. 600.";"1930";"";"";""
245;"Письма русских литературно-общественных деятелей к Н. Я. Николадзе. Тбилиси, «Заря Востока», 1949, с. 55—68, 115—121.";"1949";"";"";""
246;"Рус. мысль, 1911, № 9, с. 143.";"1911";"";"";""
247;"Бирж. вед., 1878, № 61, 3 марта, с. 1.";"1878";"";"";""
248;"Речь, 1911, № 76, 19 марта, с. 7";"1911";"";"";""
249;"Совр., 1911, № 1, с. 392—400.";"1911";"";"";""
250;"Бирж. вед, 1878, № 77, 19 марта, с. 4.";"1878";"";"";""
251;"Русский фельетон. М., Госполитиздат, 1958, с. 193—202.";"1958";"";"";""
252;"Рус. вед., 1905, № 97, 10 апр , с. 5.";"1905";"";"";""
253;"М. М. Стасюлевич и его современники в их переписке, т. III. Пб., 1912, с. 639—642.";"1912";"";"";""
254;"Ист. вест., 1906, № 11, с. 498—499.";"1906";"";"";""
255;"Вест. Евр, 1908, № 5, с. 49.";"1908";"";"";""
256;"Бертенсон В. Б. За 30 лет. (Листки из воспоминаний). Пб., 1914, с. 85.";"1915";"";"";""
257;"Горбунов И. Ф. Сочинения, т. III, Пб., 1907, с. 79.";"1907";"";"";""
258;"Лит. насл., 1939, т. 37-38, с. 441—442.";"1939";"";"";""
259;"Рус. архив, 1915, № 1, с. 30.";"1915";"";"";""
260;"Голос мин., 1919, № 1—4, с. 100.";"1919";"";"";""
261;"Чайковский П. И. Письма к родным, т. I. М., Музгиз, 1940, с. 706.";"1940";"";"";""
262;"Чайковский М. Жизнь Петра Ильича Чайковского, т. I. М., 1900, с. 241—243.";"1900";"";"";""
263;"Рус. ст., 1902, № 7, с. 81—106; № 8, с. 349— 365; № 9, с. 615— 633.";"1902";"";"";""
264;"Гроссман Л. Достоевский и правительственные круги 1870-х годов. — Лит. насл., 1934, т. 15, с. 83—123.";"1934";"";"";""
265;"Рус. ст., 1905, № 4, с. 200—216.";"1905";"";"";""
266;"Зап. Отдела рукописей Всесоюз. б-ки им. В. И. Ленина, 1940, вып. 6, с. 79.";"1940";"";"";""
267;"Лермонтов М. Ю. Собрание сочинений: В 4 т. Л.: Наука. Ленингр. отд-ние, 1979—1981. Т. 4. Проза. Письма. 1981. С. 433—521.";"1981";"";"";""
268;"В. Г. Белинский и его корреспонденты. Под ред. Н. Л. Бродского. М., Б-ка СССР им. В. И. Ленина, 1948, с. 31-314.";"1948";"";"";""
269;"Лит. насл., 1955, т. 62, с. 5—788.";"1955";"";"";""
270;"Лит. насл., 1955, т. 62, см. указатель имен.";"1955";"";"";""
271;"Голос мин., 1917, № 2, с. 259—262.";"1917";"";"";""
272;"Путь, 1912, № 8, с. 48—49.";"1912";"";"";""
273;"Голос мин., 1917, № 2, с. 262—264.";"1917";"";"";""
274;"Рус. архив, 1873, № 7, с. 1131—1221.";"1873";"";"";""
275;"Лит. Азербайджан, 1941, № 5, с. 75—76.";"1941";"";"";""
276;"Б.: Собрание сочинений и писем, тт. I—IV. М., Об-во политкаторжан, 1934—1935, см. указатели имен.";"1934—1935";"";"";""
277;"Летописи марксизма, 1927, № 3, с. 83—98.";"1927";"";"";""
278;"П. В. Анненков и его друзья, т. I. Пб., А. С. Суворин, 1892, с. 620—625.";"1829";"";"";""
