"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник";;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 3 февраля 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 6 марта 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 21 марта 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 4 апреля 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 1 мая 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 16 июня 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 3 июля 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Е. В., О. М. Салтыковым. (1). 15 июля 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 7 августа 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"О. М. Салтыковой. (1). 7 августа 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 26 августа 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 16 сентября 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 14 октября 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 6 ноября 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я., С. Е. Салтыковым. (1). 18 ноября 1850.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 6 января 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 18 января 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 22 января 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"А. Я. Салтыковой. (1). 29 января 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 29 января 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 5 февраля 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 19 февраля 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 24 февраля 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 5 марта 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 10 марта 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 10 марта 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"А. Я. Салтыковой. (1). 27 марта 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"А. Я. Салтыковой. (1). 3 апреля 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 17 апреля 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 1 мая 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 11 июня 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 14 июля 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 29 июля 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 14 августа 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 3 сентября 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 6 октября 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Н. А. Милютину. (1). 27 октября 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"А. Ф. Орлову. (1). 28 октября 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 17 ноября 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"П. А. Вревскому. (1). 15 декабря 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 15 декабря 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"А. И. Чернышеву. (1). 15 декабря 1851.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 19 января 1852.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 25 февраля 1852.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 7 марта 1852.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 25 марта 1852.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 30 апреля 1852.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 28 июля 1852.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 23 августа 1852.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 18 октября 1852.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"H. Н. Семенову. (1). 20 ноября 1852.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"H. Н. Семенову. (1). 20 декабря 1852.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 22 декабря 1852.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 24 марта 1853.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 21 апреля 1853.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 28 июня 1853.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). Июль 1853.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 28 августа 1853.";;;;
