 source_id;source_full;pages;source_year_begin;source_year_end;place
34;"Рус. мысль, 1916, № 9, с. 1—32; № 12, с. 85—114; 1917, № 2, с. 82—89; № 3—4, с. 56—70.";56-70;1916;1916;
35;Новое вр., 1901, № 9003, 22 марта.;;1901;1901;
36;Рус. мысль, 1913, № 12, с. 73—90.;73-90;1913;1913;
37;Московский сборник из произведений М. Д. Скобелева, И. С. Аксакова, В. С. Соловьева [и др.]. М., 1887, с. 16—45.;16-45;1887;1887;М.
38;На чужой стороне, 1924, т. V, с. 129—157.;129-157;1924;1924;
39;Ежегодник Коллегии Павла Галагана. Киев, 1902, с. 403—409.;403-409;1902;1902;Киев
40;"Рус. архив, 1902, № 2, с. 362—365; № 7, с. 492—499.";492-499;1902;1902;
41;Багалей Д. И. Материалы для биографий южно-русских научно-литературных деятелей XIX века. Киев, 1903, 103 с.;;1903;1903;Киев
42;Данилевский М. Г. Г. П. Данилевский по личным его письмам и литературной переписке. Харьков, 1893, с. 29—30, 50—52.;29-30, 50-52;1893;1893;Харьков
43;Иван Сергеевич Аксаков в его письмах, т. 1. М.—Пб., 1888.;;1888;1888;М.-Пб.
44;Ист. вест, 1916, № 9, с. 701—702.;701-702;1916;1916;
45;Рус. архив, 1903, № 1, с. 608—609.;608-609;1903;1903;
46;Трубецкая. Ф. Материалы для биографии кн. Б. А. Черкасского, т. I, кн. 1. М., 1901, с. 167—169.;167-169;1901;1901;М.
47;Отчет имп. Публ. б-ки за 1885 год. Пб., 1888, прилож, с. 4—7.;4-7;1888;1888;Пб.
48;Новое вр., 1901, №№ 9085, 9086, 9088 от 21, 22, 24 июня.;;1901;1901;
49;Рус. архив, 1902, № 3, с. 571—573.;571-573;1902;1902;
50;Щукинский сборник, вып. 10. М., 1912, с. 228—234, 468—472.;228-234, 468-472;1912;1912;М.
51;"Рус. обозр., 1894, № 8, с. 448—479; № 9, с. 8—10, 27, 28; № 12, с. 596—601.";596-601;1894;1894;
52;Рус. филолог. вест., 1915, № 3, с. 13—15.;13-15;1915;1915;
53;Материалы для биографии К. Н. Тихонравова. Письма к нему разных лиц. Владимир, 1900, с. 221—223.;221-223;1900;1900;Владимир
54;К. П. Победоносцев и его корреспонденты, т. I. М.— Пг., ГИЗ, 1923, с. 275-277.;275-277;1923;1923;
55;Кр. архив, 1928, т. VI, с. 144—154.;144-154;1928;1928;
56;"Рус. архив 1894, № 1, с. 103—104; 1907, № 10, с. 163—192.";163-192;1894;1894;
57;Лит. насл., 1952, т. 58, с. 582—583.;582-583;1952;1952;
58;Рус. ст., 1903, № 5, с. 261—266.;261-266;1903;1903;
59;Ист. вест., 1911, № И, с. 560—562.;560-562;1911;1911;
60;Рус. архив, 1908, № 3, с. 354—362.;354-362;1908;1908;
61;Письма Толстого и к Толстому. Юбилейный сборник. М.—Л., ГИЗ, 1928, с. 317—325.;317-325;1882;1882;М.-Л., ГИЗ
62;Рус. ст., 1902, № 8, с. 269—272.;269-272;1902;1902;
63;Рус. архив, 1907, № 9, с. 141—144.;141-144;1907;1907;
64;Вятские вед., 1886, № 11, 5 февр, с. 3.;3;1886;1886;
65;Рус. архив, 1915, № 1, с. 5—13;5-13;1915;1915;
66;Лит. насл., 1949, т. 51—53, с. 95.;95;1949;1949;
67;Рус. архив, 1915, № 9—10, с. 63;63;1915;1915;
68;Рус. ст., 1890, № 2, с. 426—427.;426-427;1890;1890;
69;Штиглиц А. Н. Памяти Ивана Сергеевича Аксакова. Пб., 1907, с. 20—23.;20-23;1907;1907;Пб.
70;Рус. архив, 1887, № 8, с. 469—494.;469-494;1887;1887;
71;Рус. архив, 1915, № 9—10, с. 63—64.;63-64;1915;1915;
72;Рус. обозр., 1894, № 6, с. 809—811.;809-811;1894;1894;
73;Лесков Н. Собрание сочинений, т. XI, М., Гослитиздат, 1958, с. 668.;668;1958;1958;М., Гослитиздат
74;Ист. вест, 1916, № 3, с. 787—790, 792—793, 801—803;787-790, 792-793, 801-803;1916;1916;
75;Рус. обозр., 1897, №№ 2—12.;;1897;1897;
76;Рус. архив, 1891, № 5, с. 90—99.;90-99;1891;1891;
77;Биография, письма и заметки из записной книжки Ф. М. Достоевского. Пб., 1883, отд. 2, с. 344.;344;1883;1883;Пб.
78;Рус. архив, 1901, № 6, с. 297—299.;297-299;1901;1901;
79;Бороздин А. К. Литературные характеристики. Девятнадцатый век. Т. II, вып. I. Пб., М. В. Пирожков, 1905, с. 293—298.;293-298;1905;1905;Пб., М. В. Пирожков
80;Щукинский сборник, вып. 10. М., 1912, с. 228—234.;228-234;1912;1912;М.
81;Рус. обозр., 1895, № 8, с. 838—839, № 9, с. 338—340.;338-340;1895;1895;
82;Сев. вест., 1893, № 1, отд. I, с. 236—237.;236-237;1893;1893;
83;Рус. филолог. вест., 1915, № 3, с. 5—12.;5-12;1915;1915;
84;Рус. ст., 1887, № 8, с. 423—430.;423-430;1887;1887;
85;"Рус. архив, 1913, № 1, с. 93—111; № 2, с. 181—204.";181-204;1913;1913;
86;Звенья, т. II. М.—Л., «Academia», 1933, с. 277.;277;1933;1933;М.-Л., «Academia»
87;Рус. архив, 1909, № 5, с. 145—149.;145-149;1909;1909;
88;Ст. и новизна, 1905, № 9, с. 369—370.;369-370;1905;1905;
89;Лит. насл., 1949, т. 51—52, с. 95.;95;1949;1949;
90;Рус. вест., 1889, № 2, с. 357—358.;357-358;1889;1889;
91;Новое вр., 1909, № 12118, 5 дек. (прилож.).;;1909;1909;
92;Письма И. С. Аксакова, Н. П. Барсукова, П. С. Билярского [и др.] к библиографу С. И. Пономареву. М.—Л., Э. Бухгейм, 1915. с. 140—144.;140-144;1915;1915;М.-Л., Э. Бухгейм
93;Рус. архив, 1903, № 1, с. 609.;609;1903;1903;
94;Плоткин Л. А. Писарев и литературно-общественное движение шестидесятых годов. Л.—М., АН СССР, 1945, с. 19.;19;1945;1945;Л.-М., АН СССР
95;Рус. ст., 1897, № 12, с. 455.;455;1897;1897;
96;Лит. насл., 1952, т. 58, с. 582—600, 738.;582-600, 738;1952;1952;
97;Лит. насл., 1950, т. 56, с. 123.;123;1950;1950;
98;Лит. насл., 1950, т. 56, с. 139—140.;139-140;1950;1950;
99;Рус. вест., 1888, № 9, с. 425—426.;425-426;1888;1888;
100;Рус. ст., 1887, № 9, с. 577—585.;577-585;1887;1887;
101;Уч. зап. Шуйского пед. ин-та, 1958, вып. 7, с. 146—163.;146-163;1958;1958;
102;Лит. насл., 1935, т. 19—21, с. 587—602.;587-602;1935;1935;
103;"Новое вр., 1909, № 12104, 28 ноября; № 12111, 28 ноября.";;1909;1909;
104;Рус. филолог. вест., 1915, № 3, с. 13.;13;1915;1915;
105;Рус. архив, 1906, № 6, с. 275—277.;275-277;1906;1906;
106;Колюпанов Н. Биография Александра Ивановича Кошелева, т. II. — М., 1892, прилож. с. 47—53.;47-53;1892;1892;М.
107;Лит. насл., 1952, т. 58, с. 548—552, 562—574, 581, 582, 622—626, 707, 708, 715, 716, 724, 802—804.;548-552, 562-574, 581, 582, 622-626, 707, 708, 715, 716, 724, 802-804;1952;1952;
108;Колюпанов Н. Биография Александра Ивановича Кошелева, т. II. — М., 1892, отд. прилож, с. 69—73.;69-73;1892;1892;М.
109;Русь, 1883, № 3, с. 34—36.;34-36;1883;1883;
110;Лит. насл., 1950, т. 56, с. 103—129, 140—168, 179.;103-129, 140-168, 179;1950;1950;
111;Трубецкая О. Материалы для биографии князя В. А. Черкасского, т. 1, кн. 2. М., 1904, с. 115—123.;115-123;1904;1904;М.
112;Тр. Всесоюз. б-ки им. Вл. И. Ленина, 1939, вып. 4, с. 202—207.;202-207;1939;1939;М.
113;"Богословский вест., 1915, № 9, с. 9—40; 1916, № 9, с. 27—58; 1917, № 4—5, с, 646.";"№ 9, с. 9-40; 1916, № 9, с. 27-58; 1917, № 4-5, с, 646";1915;1917;
114;Cosmopolis, 1898, №№ 1—12.;;1898;1898;
115;Багалей Д. И. Материалы для биографий южно-русских научно-литературных деятелей XIX века. I. Письма к Г. П. Данилевскому. Киев, 1903, с. 55.;55;1903;1903;Киев
116;Данилевский М. Г. Г. П. Данилевский по личным его письмам и литературной переписке. Харьков, 1893, с. 16, 17, 22, 23.;16, 17, 22, 23;1893;1893;Харьков
117;Иван Сергеевич Аксаков в его письмах, т. II. М., 1888, с. 143—144.;143-144;1888;1888;М.
118;Письма С. Т , К. С. и И. С. Аксаковых к И. С. Тургеневу. М., 1894.;;1894;1894;М.
119;Киевск. ст., 1883, № 4, с. 834—835;834-835;1883;1883;
120;Иван Сергеевич Аксаков в его письмах, т. IV. Пб., Публ. б-ка, 1896, с. 92.;92;1860;1860;Пб., Публ. б-ка
121;Рус. архив, 1904, № 3, с. 518;518;1904;1904;
122;Лит. насл., 1952, т. 58, с. 726;726;1952;1952;
123;Венгеров С. А. Собрание сочинений, т. III. Пб., «Прометей», 1912, с. 85—86.;85-86;1912;1912;Пб., «Прометей»
124;Рус. архив, 1890, № 8, с. 85—88;85-88;1890;1890;
125;Аксаков С. Т. Собрание сочинений, т. III. М., Гослитиздат, 1956, с. 246—249, 367—369;246-249, 367-369;1956;1956;М., Гослитиздат
126;Рус. архив, 1890, № 1, с. 139—159.;139-159;1890;1890;
127;Рус. обозр, 1897, № 3 , с. 146—157;146-157;1897;1897;
128;Смирнов В. Д. Аксаковы, их жизнь и литературная деятельность. Биографические очерки. Пб., 1895, с. 46—47.;46-47;1895;1895;Пб.
129;Лит. насл., 1950, т. 56, с. 122.;122;1950;1950;
130;"Рус. архив, 1910, № 1, с. 134—160; № 2, с. 221—242.";221-242;1910;1910;
131;Остафьевский архив князей Вяземских, т. V, вып. 1. Пб., С. Д. Шереметев, 1909, с. 154—157.;154-157;1909;1909;Пб., С. Д. Шереметев
132;Pуc. архив, 1904, № 7, с. 450—452.;450-452;1904;1904;
133;Рус. архив, 1896, № 1, с. 142—143.;142-143;1896;1896;
134;Свободное сл., 1883, № 60.;;1883;1883;
135;Аксаков С. Т. Семейная хроника. Детские годы Багрова-внука. М, Гослитиздат, 1958, с. 6—7, 12, 15.;6-7, 12, 15;1958;1958;М., Гослитиздат
136;Рус. архив, 1896, № 1, с. 142—160.;142-160;1896;1896;
137;Рус. Архив, 1904, № 1, с. 190.;190;1904;1904;
138;Иван Сергеевич Аксаков в его письмах, т. II, ч. 1. М, 1888, с. 146.;146;1888;1888;М.
139;Рус. архив, 1898, № 5, с. 89—90.;89-90;1898;1898;
140;Изв. АН СССР, Отд. лит. и яз., 1959, т. XVIII, № 3, с. 250.;250;1959;1959;
141;Жизнь замечательных людей в Казани, кн. 2. Казань, Татгосизлат, 1940, с. 167.;167;1940;1940;Казань, Татгосизлат
142;Недра, кн. 2. М., 1923, с. 283—285.;283-285;1923;1923;М.
143;Багалей Д. И. Материалы для биографий южно-русских научно-литературных деятелей XIX века. I. Письма к Г. П. Данилевскому. Киев, 1903, с. 54—55.;54-55;1903;1903;Киев
144;Лит. насл., 1952, т. 58, с. 558—622, 666—734, 806, 807.;558-622, 666-734, 806, 807;1952;1952;
145;Рус. архив, 1894, № 2, с. 220—221.;220-221;1894;1894;
146;Рус. архив, 1898, № 5, с. 91—93;91-93;1898;1898;
147;Рус. архив, 1903, № 1, с. 608.;608;1903;1903;
148;Лит. вест, 1902, № 1, с. 13—15.;13-15;1902;1902;
149;Огонек, 1951, № 37, с. 19;19;1951;1951;
150;Рус. архив, 1910, № 1, с. 301—303.;301-303;1910;1910;
151;Рус. мысль, 1915, № 8, с. 110—131.;110-131;1915;1915;
152;Н. В. Гоголь. Материалы и исследования, т. I. Л.—М., АН СССР, 1936, с. 178—180, 183—187, 212—219.;178-180, 183-187, 212-219;1936;1936;Л.-М., АН СССР
153;Аксаков С. Т. Собрание сочинений, т. III. М., Гослитиздат, 1956, с. 191—192, 226—388.;191-192, 226-388;1956;1956;М., Гослитиздат
154;Ист. вест., 1888, № 2, с. 327—333;327-333;1888;1888;
155;"Иван Сергеевич Аксаков в его письмах, т. I. М., 1888, с. 249—251, 280—433; т. II, с. 25, 58, 110—217, 267—304, 356—380, 406-407; т. III. М., 1892, с. VI—VII, 11-60, 95, 158—163, 214—237, 242, 313—318, 335-341.";"т. II с. 25, 58, 110-217, 267-304, 356-380, 406-407; т. III. М., 1892, с. VI-VII, 11-60, 95, 158-163, 214-237, 242, 313-318, 335-341";1888;1888;М.
156;Письма С. Т , К. С. и И. С. Аксаковых к И. С. Тургеневу. М., 1894, 152 с.;;1894;1894;М.
157;"Рус. худож. архив, 1892, № 2, с. 52—56 ; № 3, с. 129—135.";129-135;1892;1892;
158;Лит. насл., 1950, т. 56, с. 112—116, 130—135, 141, 144—146.;112-116, 130-135, 141, 144-146;1950;1950;
159;Киевская ст., 1883, № 4, с. 829—840.;829-840;1883;1883;
160;Лит. вест., 1902, № 1, с. 61—62.;61-62;1902;1902;
161;Лит. насл., 1934, т. 16—18, с. 679—724.;679-724;1934;1934;
162;Рус. архив, 1904, № 1, с. 517;517;1904;1904;
163;Козьмин Н. К. Н. И. Надеждин. Жизнь и научно-литературная деятельность. Пб., 1912, с. 482, 483, 489, 490;482, 483, 489, 490;1912;1912;Пб.
164;Лит. вест, 1901, № 4, с. 437—438;437-438;1901;1901;
165;Печать и рев, 1925, № 5—6, с. 173—175;173-175;1925;1925;
166;Совр. 1913, № 2, с. 224—226.;224-226;1913;1913;
167;Литературные портфели, вып. 1. Пб., «Атеней», 1923, с. 11—18;11-18;1923;1923;Пб., «Атеней»
168;Рус. филолог. вест., 1915, № 3, с. 1—5.;1-5;1915;1915;
169;Иван Сергеевич Аксаков в его письмах, т. II, ч. 1. М., 1888, с. 145—146.;145-146;1888;1888;М.
170;Н. В. Гоголь. Материалы и исследования. Т. I. Л—М., АН СССР, 1936, с. 156—158, 160—163, 191—196, 215, 216;156-158, 160-163, 191-196, 215, 216;1936;1936;Л-М., АН СССР
171;Рус. архив, 1878, № 5, с. 49—54.;49-54;1878;1878;
172;Рус. архив, 1878, № 5, с. 47—66.;47-66;1878;1878;
173;"Рус. обозр., 1894, №№ 8— 12; также отд. оттиск: М., 1894, 152 с.";;1894;1894;М.
174;Иван Сергеевич Аксаков в его письмах, т. 4. М.—Пб., 1896. (приложения).;;1896;1896;М.-Пб.
175;Рус. ст., 1870, № 1, с. 57—62.;57-62;1870;1870;
176;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил.";;1996;1996;М.: Воскресенье
177;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье, 1997. — 532 с.; ил.";;1997;1997;М.: Воскресенье
178;Неизданные письма к А. Н. Островскому. М.—Л., «Academia», 1932, с. 10—15.;10-15;1932;1932;М.-Л., «Academia»
179;Рус. обозр, 1894, № 9, с. 375.;375;1894;1894;
180;Горбунов И. Ф. Сочинения, т. III. Пб., 1907.;;1907;1907;Пб.
181;Писемский А. Ф. Письма. М.—Л., АН СССР, 1936, с. 650.;650;1936;1936;М.-Л., АН СССР
182;Москв., 1851, № 8, кн. 2, отд. II, с. 391;391;1851;1851;М.
183;"Барсуков Н. Жизнь и труды Погодина, т. XI. Пб, 1897, с. 381, 382, 386—388; т. XII. Пб., 1898, с. 35, 212—220; т. XVI. Пб, 1902, с. 369—372.";369-372;1897;1902;Пб.
184;Глеб Успенский. Материалы и исследования. Т. I. М.—Л., АН СССР, 1938, с. 255—353. (Ин-т рус. лит-ры).;255-353;1938;1938;М.-Л., АН СССР
185;Уч. зап. Ивановского пед. ин-та, 1958, т. XIII, вып. 4, с. 156.;156;1958;1958;
186;"Чехов А. П. Полное собрание сочинений и писем, т. XIV. М., Гослитиздат, 1949, с. 492; т. XVI. М., 1949, с. 429.";429;1949;1949;М.
187;История русской литературы, т. IX, ч. 2. М.—Л., АН СССР, 1956, с. 256. (Ин-т рус. лит-ры);256;1956;1956;М.-Л., АН СССР
188;Нов., 1885, № 85, 29 марта, с. 3.;3;1885;1885;
189;Записки Отдела рукописей Государственной библиотеки СССР им. В. И. Ленина, 1941, вып. 8. А. П. Чехов, с. 29—108.;29-108;1941;1941;
190;Н. Г. Чернышевский. Литературное наследие, тт. II—III. М.—Л., ГИЗ, 1928—1930.;;1928;1930;М.-Л., ГИЗ
191;Утевский Л. С. Смерть Тургенева. Пб., «Атеней», 1923, с. 49, 79.;49, 79;1923;1923;Пб., «Атеней»
192;Лит. насл., 1952, т. 58, с. 300.;300;1952;1952;
193;Лит. насл., 1949, т. 51—52, с. 102.;102;1949;1949;
194;Письма А. В. Дружинину. (1850-1863). М., 1948, с. 26—29. (Летописи Гослитмузея, № 9);26-29;1948;1948;М.
195;Рус. ст., 1883, № 10, с. 239.;239;1883;1883;
196;Письма К. Дм. Кавелина и Ив. С. Турнева к Ал. И. Герцену. Женева, 1892, с. 117—118.;117-118;1892;1892;Женева
197;Рус. мысль, 1892, № 7, отд. I, с. 98—100.;98-100;1892;1892;
198;Вест. Евр., 1916, № 10, с. 72—73.;72-73;1916;1916;
199;Лит. насл. 1951, т. 57, с. 308.;308;1951;1951;
200;Лит. насл., 1959, т. 67, с. 539—554.;539-554;1959;1959;
201;Рус. мысль, 1911, № 3, отд. II, с. 106—107.;106-107;1911;1911;
202;Ист. сборник, вып. 4. М—Л., АН СССР, 1935, с. 245—258.;245-258;1935;1935;М-Л., АН СССР
203;Рус. архив, 1875, № 1, с. 455.;455;1875;1875;
204;Новь, 1888, № 20, с. 199—205.;199-205;1888;1888;
205;Белинский В. Г. Письма, т. III. Ред. и прим. Е. А. Ляцкого. Пб., 1914, с. 368, 386.;368, 386;1914;1914;Пб.
206;И. С. Тургенев. Материалы и исследования. Орел, 1940, с. 57—58;57-58;1940;1940;Орел
207;Ф. М. Достоевский и И. С. Тургенев. Переписка. Л., «Academia», 1928, с. 176—177. (Памятники лит. быта);176-177;1928;1928;Л., «Academia»
208;Печать и рев., 1928, № 7, с. 63, 64, 66—69.;63, 64, 66-69;1928;1928;
209;Рус. ст., 1898, № 1, с. 87—88.;87-88;1898;1898;
210;Лит. насл., 1950, т. 56, с. 195, 198.;195, 198;1950;1950;
211;Лит. насл., 1952, т. 58, с. 605—606.;605-606;1952;1952;
212;Лит. насл. 1950, т. 50, с. 182, 190—194.;182, 190-194;1950;1950;
213;Модзалевский Б. Л. Пушкин. Л., «Прибой», 1929, с. 291—303.;291-303;1929;1929;Л., «Прибой»
214;Лит. насл., 1948, т. 55, с. 432.;432;1948;1948;
215;Рус. лит-ра, 1958, № 1, с. 147—149.;147-149;1958;1958;
216;Щукинский сборник, вып. 6. М., 1907, с. 435—436.;435-436;1907;1907;М.
217;Достоевский Ф. М. и Тургенев И. С. Переписка. Л., «Academia», 1928, с. 66, 73, 74, 75, 80, 82, 86—88, 104, 112, 113.;66, 73, 74, 75, 80, 82, 86-88, 104, 112, 113;1928;1928;Л., «Academia»
218;Лит. мысль, кн. 1. Пг., 1922, с. 188—207.;188-207;1922;1922;
219;Лит. насл., 1959, т. 67, с. 542, 554 (подстроч. прим.).;542, 554;1874;1874;
220;И. С. Тургенев. Сборник. Под ред. Н. Л. Бродского. М., 1940, с. 31, 77—78. (Б-ка СССР им. В. И. Ленина).;31, 77-78;1940;1940;М.
221;Рус. обозр., 1898, №№ 3—5.;;1898;1898;
222;Письма С. Т., К. С. и И. С. Аксаковых к И. С. Тургеневу с введ. и прим. Л. Майкова. М., 1894, с. 87—90, 93—95.;87-90, 93-95;1894;1894;М.
223;Тр. Публ. б-ки СССР им. В. И. Ленина, 1934, вып. 3, с. 47—176, 275—279.;47-176, 275-279;1934;1934;
224;Маркс К. и Энгельс Ф. Перелиска с русскими политическими деятелями. М., Госполитиздат, 1951, с. 9—10, 21—23.;9-10, 21-23;1951;1951;М., Госполитиздат
225;Рязанов Д. Карл Маркс и русские люди сороковых годов. Пг., 1918, с. 83—93.;83-93;1918;1918;Пг.
226;Полное собрание сочинений, т. XII. М., АН СССР, 1956, с. 382.;382;1956;1956;М., АН СССР
227;Полное собрание сочинений, т. XIX, кн. 2. М., Гослитиздат, 1939, с. 425.;425;1939;1939;М., Гослитиздат
228;М. М. Стасюлевич и его современники в их переписке, т. III. Пб, 1912, с. 292—451.;292-451;1912;1912;Пб
229;Рус. вест., 1896, № 12, с. 42—52.;42-52;1896;1896;
230;Вест. Евр., 1916, № 10, с. 682—683.;682-683;1916;1916;
231;Лит. насл., 1949, т. 51—52, с. 96-102.;96-102;1949;1949;
232;Архив, Н. А. и Н. П. Огаревых. М.—Л., ГИЗ, 1930, с. 170—172, 176, 205, 243, 244.;170-172, 176, 205, 243, 244;1930;1930;М.-Л., ГИЗ
233;Н. В. Гоголь. Материалы и исследования. Т. I. Под ред. В. В. Гиппиуса. М.—Л., АН СССР, 1936, с. 127—220, 285—306, 313—347. (Ин-т рус. лит-ры).;127-220, 285-306, 313-347;1936;1936;М.-Л., АН СССР
234;Рус. вест. 1891, № 6, с. 346—350.;346-350;1891;1891;
235;Модзалевский Б. Л. Пушкин. Л., «Прибой», 1929, с. 308—309;308-309;1929;1929;Л., «Прибой»
236;Модзалевский Б. Л. Пушкин. Л., «Прибой», 1929, с. 298.;298;1929;1929;Л., «Прибой»
237;Архив В. А. Гольцева, т. I. М., «Кн-во писателей в М.», 1914, 316 с. (Матер. для ист. рус. журналистики).;;1914;1914;М., «Кн-во писателей в М.»
238;Лит. насл., 1951, т. 57, с. 325.;325;1951;1951;
239;Лит. насл., 1936, т. 25—26, с. 684—686.;684-686;1936;1936;
240;Лит. насл., 1936, т. 25—26, с. 690.;690;1936;1936;
241;Лит. насл., 1936, т. 25—26, с. 690—691.;690-691;1936;1936;
242;Лит. насл., 1936, т. 25—26, с. 686—687.;686-687;1936;1936;
243;Лит. насл., 1936, т. 25—26, с. 389;389;1936;1936;
244;Н. Г. Чернышевский. Литературное наследие, т. 111. М.—Л., ГИЗ, 1930, с. 600.;600;1930;1930;М.-Л., ГИЗ
245;Письма русских литературно-общественных деятелей к Н. Я. Николадзе. Тбилиси, «Заря Востока», 1949, с. 55—68, 115—121.;55-68, 115-121;1949;1949;Тбилиси, «Заря Востока»
246;Рус. мысль, 1911, № 9, с. 143.;143;1911;1911;
247;Бирж. вед., 1878, № 61, 3 марта, с. 1.;1;1878;1878;
248;Речь, 1911, № 76, 19 марта, с. 7;7;1911;1911;
249;Совр., 1911, № 1, с. 392—400.;392-400;1911;1911;
250;Бирж. вед, 1878, № 77, 19 марта, с. 4.;4;1878;1878;
251;Русский фельетон. М., Госполитиздат, 1958, с. 193—202.;193-202;1958;1958;М., Госполитиздат
252;Рус. вед., 1905, № 97, 10 апр , с. 5.;5;1905;1905;
253;М. М. Стасюлевич и его современники в их переписке, т. III. Пб., 1912, с. 639—642.;639-642;1912;1912;Пб.
254;Ист. вест., 1906, № 11, с. 498—499.;498-499;1906;1906;
255;Вест. Евр, 1908, № 5, с. 49.;49;1908;1908;
256;Бертенсон В. Б. За 30 лет. (Листки из воспоминаний). Пб., 1914, с. 85.;85;1915;1915;Пб.
257;Горбунов И. Ф. Сочинения, т. III, Пб., 1907, с. 79.;79;1907;1907;Пб.
258;Лит. насл., 1939, т. 37-38, с. 441—442.;441-442;1939;1939;
259;Рус. архив, 1915, № 1, с. 30.;30;1915;1915;
260;Голос мин., 1919, № 1—4, с. 100.;100;1919;1919;
