number_of_letter;addressee;gender;date;place;appeal;first_line;signature;volume;pages;poetry;autograph;copy;first published;printed according to
108;А. И. Тургенев;м;9 мая 1813;Орел;любезный друг;Что же ты ко мне не пишешь, любезный друг;;15;160;;РНБ. Оп. 2. № 146. Л. 19—19 об. Б. г.;;ПЖТ. С. 99;автограф
109;А. И. Тургенев;м;15 мая 1813;Белев;;Вручитель этого письма, Иван Петрович барон Черкасов, был очень хорошо знаком с твоим отцом;Твой Жуковский;15;161;;РНБ. Оп. 2. № 146. Л. 20. Б. г.;;ПЖТ. С. 99—100;автограф
110;А. И. Тургенев;м;20 мая 1813;Белев;любезный мой друг;Твое письмо, любезный мой друг, тронуло меня до слез;;15;161;;РНБ. Оп. 2. № 146. Л. 22—23 об. Б. г.;;ПЖТ. С. 100—102;автограф
111;П. А. Вяземский;м;13 июня 1813;Муратово;милый друг ваше сиятельство;Откликнись, милый друг ваше сиятельство. Я давно жду от тебя письма;Твой Жуковский;15;163;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 26—27 об. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
112;П. А. Вяземский;м;27 июня 1813;Муратово;мой милый друг;Наконец я обрадован известием о тебе, мой милый друг;;15;165;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 28—29. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
113;П. А. Вяземский;м;начало июля 1813;Муратово;;Я еще не имею от тебя ответа на мое письмо, а весьма бы желал его иметь поскорее;;15;167;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 31—32 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
114;А. И. Тургенев;м;начало июля 1813;Мишенское;;Прошу тебя, мой милый друг, поспешить уведомить меня о своем здоровье;Ваш брат Жуковский;15;167;;РНБ. Оп. 2. № 146. Л. 24—24 об. Б. д.;;ПЖТ. С. 102—103;автограф
115;С. С. Уваров;м;15 июля 1813;Белев;Милостивый государь Сергей Семенович;"Я имел удовольствие получить Ваше письмо; простите, что отвечаю на оное несколько поздно";Ваш покорный слуга Жуковский;15;168;;неизвестен;РО ИРЛИ. Ф. 309. № 2737 — рукой А. И. Тургенева, с припиской карандашом после даты: «1813 г.».;ЖИМ. Вып. 2. С. 153—158. Публикация и комментарий С. В. Березкиной;автограф
116;А. П. Киреевская (Елагина);ж;июль 1813;Чернь, Мишенское;;Я пишу к Вам для того, что на словах или не всё скажу, или не буду иметь ни случая ни времени, или не буду уметь довольно ясно выразиться;;15;172;;неизвестен;РО ИРЛИ. Ф. 265 (архив журнала «Русская старина»). Оп. 2. № 1040. Л. 1—8, с пометой: «В июле 1813. Начало письма в Черни, остальное в Мишенском»;;копия
117;А. П. Киреевская (Елагина);ж;июль 1813;Мишенское;;Я ходил, ходил по зале в надежде, что Вы выйдете, наконец потерял терпение и вздумал к Вам написать;;15;177;;неизвестен;неизвестен;РС. 1883. № 1. С. 203—204, с пометой: «(1813, Мишенское, в июле. Из одной комнаты в другую)»;текст первой публикации
118;А. П. Киреевская (Елагина);ж;июль 1813;Мишенское;;Ваше милое письмо, которое меня очень тронуло, еще более утвердило меня в мысли, что Вы имеете высокую душу и прекрасное сердце.;;15;178;;неизвестен;неизвестен;РС. 1883. № 1. С. 204—206, с пометой: «В июле (без числа), вероятно, 1813 г., в Мишенском»;текст первой публикации
119;А. И. Тургенев;м;август 1813;Муратово;;Отдай это письмо Оленину. Я благодарю его за виньеты;Твой Жуковский;15;180;;РНБ. Оп. 2. № 146. Л. 26. Б. д.;;ПЖТ. С. 105—106;автограф
120;Е. И. Голицына;ж;конец августа — начало сентября 1813;Муратово;;Простите меня, что так поздно отвечаю на Ваше лестное письмо;;15;180;;РНБ. Оп. 1. № 78. Л. 31—32 — черновое. Б. д.;;ПЖТ. С. 104—105 (примеч. 2);автограф
121;А. И. Тургенев;м;2 сентября 1813;Муратово;брат и друг;Я получил твои два милые письма, брат и друг, и начал отвечать на них стихами: низкая проза их не стоит;Твой Жуковский;15;182;;РНБ. Оп. 2. № 146. Л. 25. Б. г.;;ПЖТ. С. 103—105;автограф
122;А. Ф. Воейков;м;сентябрь 1813;Муратово;Брат;Коротко да ясно. Брат, я получил твое маленькое письмо из Сарепты;Весь твой Жуковский;15;182;;РНБ. Оп. 2. № 89. Л. 1—1 об. Б. д.;;РА. 1900. № 9. С. 16—17;автограф
123;П. А. Вяземский;м;около 20 сентября 1813;Муратово;Друг и брат;Друг и брат, что же нет от тебя никакого ответа на последнее мое письмо;Твой Жуковский;15;183;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 30. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
124;П. А. Вяземский;м;26 сентября 1813;Муратово;;Ты удивительный и премилый чудак: даешь мне деньги, которые я от тебя не просил;Твой Жуковский;15;184;;РГАЛИ. Ф. 195. Оп. 1. № 1909а. Л. 4—5. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
125;П. А. Вяземский;м;начало октября 1813;Муратово;;Два последние твои письма получил я в одно время;Твой Жуковский;15;186;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 20—21. Б. г;;ПСС Жуковский в 20 т., т. 15;автограф
126;П. А. Вяземский;м;12 октября 1813;Муратово;;Посылаю тебе письмо к Северину, которое доставь с своим;;15;187;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 36. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
127;П. А. Вяземский;м;31 октября 1813;Муратово;Милый друг и инфант;Милый друг и инфант, посылаю тебе переправленного «Певца» с прибавлениями назло Иванову;;15;188;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 37—38. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
128;П. А. Вяземский;м;конец ноября — начало декабря 1813;Муратово;;"Темновато; я и сам это знаю; но ведь понять можно, эти два стиха тут для двух последних, которых мне переменить не хотелось";;15;189;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 47—48. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
129;П. А. Вяземский;м;начало декабря 1813;Муратово;Брат;"Брат, сделай мне два одолжения: первое — прикажи сшить на свою мерку пару платья, фрак и панталоны, какого цвета хочешь, лучше бы синие; и еще сюртук";;15;191;;РГАЛИ. Ф. 195. Оп. 1. № 1909а. Л. 49—49 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
130;А. Н. Арбенева;ж;15 декабря 1813;Муратово;;Не могу изъяснить Вам, мой милый и истинный друг, как мне жаль, что я бедная, безденежная тварь;;15;192;;РО ИРЛИ. Ф. 18 (Бартенев). № 34. Л. 4—4 об. Б. г. — с пометой неизвестного лица: «1813».;;РА. 1883. Т. 1. С. 308—309, с датой: «15 декабря <1813 г.>». Публикация П. И. Бартенева;автограф
131;П. А. Вяземский;м;6 января 1814;Муратово;;Обнимаю тебя, милый друг, и поздравляю с Новым годом;;15;193;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 51—51 об.;;ПСС Жуковский в 20 т., т. 15;автограф
132;А. И. Тургенев;м;31 января 1814;Муратово;;Прошу тебя, любезнейший друг, сделать мне большое одолжение;Жуковский;15;195;;РО ИРЛИ. Ф. 309. № 124 (старый шифр). Л. 340—341. Б. г.;;РС. 1901. Т. 106. Апрель—июнь. С. 129—131;автограф
133;П. А. Вяземский;м;начало февраля 1814;Муратово;;Одно меня чрезвычайно тронуло в твоем сумасшедшем письме: то, что ты меня обвиняешь в убиении твоего стихотворного дара,;;15;195;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 41—41 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
134;П. А. Вяземский;м;начало февраля 1814;Муратово;Друг и брат;Друг и брат! на письмо твое отвечал я сгоряча;;15;198;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 54—54 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
135;П. А. Вяземский;м;начало февраля 1814;Муратово;Брат Вяземский;Брат Вяземский, вот тебе вместо письма стихи;;15;198;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 39. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
136;А. Ф. Воейков;м;13 февраля 1814;Муратово;;Вчера получил твое письмо из Мценска и жалел, читая его, что ты, мой милый изгнанник на время из мира ангелов;;15;199;;РНБ. Оп. 2. № 89. Л. 5—6 об.;;РА. 1900. Кн. 3. С. 17—21;автограф
137;А. Ф. Воейков;м;20 февраля 1814;Муратово;;15-го числа отправился я к Ивану Владимировичу;Жуковский;15;202;;РНБ. Оп. 2. № 89. Л. 3—4.;;РА. 1900. Кн. 3. С. 21—27;автограф
138;"М. Н. Свечина; А. Н. Арбенева";"ж; ж";7 марта 1814;Муратово;"милая Марья Николаевна; мои добрые сестры";По несчастью, Ваше письмо получил я поздно, милая Марья Николаевна (это письмо для вас обеих, мои добрые сестры);Твой Жуковский;15;206;;РО ИРЛИ. Ф. 18 (Бартенев). № 34. Л. 7—9 об.;;РА. 1883. Т. 1. С. 311—315;автограф
139;А. И. Тургенев;м;середина марта 1814;Болхов;милый друг;Благодарю тебя, милый друг, за исполнение моей комиссии;Твой Жуковский;15;210;;РНБ. Оп. 2. № 146. Л. 27. Б. д.;;ПЖТ. С. 106—108;автограф
140;А. И. Тургенев;м;24 марта 1814;Муратово;Мой милый друг;Мой милый друг, я очень много обязан тебе за скорое исполнение моей комиссии о François;Твой Жуковский;15;211;;РНБ. Оп. 2. № 146. Л. 29. Б. г.;;ПЖТ. С. 108—109.;автограф
141;А. И. Тургенев;м;26 марта 1814;Муратово;;В день счастья вспомнить о тебе! На что такое, друг, желанье;Твой навсегда Жуковский;15;212;стих. часть;РО ИРЛИ. № 102. Л. 1—1 об. Б. д.;;РА. 1866. Стб. 651—652, перепечатано: ПЖТ. С. 109—110;автограф
142;П. А. Вяземский;м;около 30 марта 1814;Муратово;;Воистину прекрасно вопреки твоей антихристианской критике, и такая критика совсем не делает тебе чести;;15;213;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 42—43 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
143;А. А. Прокопович-Антонский;м;30 марта 1814;Муратово;почтенный мой благодетель Антон Антонович;Христос воскресе, почтенный мой благодетель Антон Антонович;Жуковский;15;217;;неизвестен;неизвестен;РА. 1883. № 2. С. 324—325, с пометой: «30 марта (1814)». Перепечатано: РА. 1902. № 5. С. 134—135;текст первой публикации
144;А. И. Тургенев;м;30 марта 1814;Муратово;мой брат, мой друг-хранитель;Воейков был сильно растроган за минуту до того, как взялся за перо, чтобы к тебе писать, мой брат, мой друг-хранитель;;15;218;;РНБ. Оп. 2. № 147. Л. 1 об. 2. Б. д.;;"ПЖТ. С. 111—113; с редакторской датой И. А. Бычкова: «30 марта 1814, Муратово».";автограф
145;А. А. Прокопович-Антонский;м;конец марта (после 30-го) — начало апреля 1814;Муратово;почтеннейший Антон Антонович;Я получил Ваше письмо, почтеннейший Антон Антонович;;15;219;;неизвестен;неизвестен;РА. 1902. Кн. 2. № 5. С. 135, с пометой: «(1814)»;текст первой публикации
146;А. Ф. Воейков;м;середина апреля (не позднее 16-го) 1814;Муратово;друг, брат, товарищ;И я приписываю к тебе в этом милом письме, друг, брат, товарищ;Твой Жуковский;15;219;;РНБ. Оп. 2. № 89. Л. 8 об. Б. д.;;РА. 1900. № 9. С. 28—29;автограф
147;А. И. Тургенев;м;16 апреля 1814;Муратово;милый друг;Обнимаю тебя, милый друг. Ты, верно, уже получил мою палинодию;Твой Жуковский;15;220;;РНБ. Оп. 2. № 148. Л. 1—2. Б. г.;;ПЖТ. С. 113—114;автограф
148;А. П. Киреевская (Елагина);ж;16 апреля 1814;Муратово;милая моя сестра, новая знакомка и старый друг;Здравствуйте, милая моя сестра, новая знакомка и старый друг;;15;221;;неизвестен;неизвестен;ЖМНП. 1869. Ч. 142. Апр. С. 420—422. Б. д. Полностью: РС. 1883. № 2. С. 431—436, с пометой: «16-го апреля (1814. Муратово)».;текст первой полной публикации
149;Д. А. Кавелин;м;23 апреля 1814;Муратово;;И я, нижеподписавшийся, подтверждаю брату Кавелину;Ваш Жуковский;15;225;;РНБ. Оп. 2. № 109. Л. 1. Б. д.;;РА. 1900. № 9. С. 30—31;автограф
150;А. П. Киреевская (Елагина);ж;конец апреля 1814;Муратово;;Я успею к Вам написать только два слова — говорили ли Вы с баронессою?;;15;226;;неизвестен;неизвестен;РС. 1883. № 2. С. 436—437, с пометой: «(В апреле 1814). Писано из Муратова или из Черни в Долбино»;текст первой публикации
151;А. П. Киреевская (Елагина);ж;5 мая 1814;Чернь;Милая моя сестра;Милая моя сестра. Какие два письма я от Вас получил;;15;226;;неизвестен;неизвестен;РС. 1883. № 2. С. 437—442, с пометой: «Вторник, 5 мая 1814 г. Чернь»;текст первой публикации
152;А. И. Тургенев;м;5 мая 1814;Чернь;;Это письмо отправляется с эстафетою;;15;230;;РНБ. Оп. 2. № 148. Л. 3—5. Б. г.;;ПЖТ. С. 115—118;автограф
153;А. П. Киреевская (Елагина);ж;середина мая 1814;Чернь;;Вместо себя посылаю Вам Максима;;15;233;;неизвестен;неизвестен;ЖМНП. 1869. Ч. 142. Апр. С. 424 (Б. д.). Полностью: РС. 1883. № 2. С. 443—445, с пометой: «Чернь, 1814 г., в конце мая или начале июня»..;текст первой полной публикации
154;А. П. Киреевская (Елагина);ж;22 мая 1814;Чернь;;Отчего Вы не написали мне ни словечка с Иваном Никифоровичем, голубушка Дуняша;;15;233;;неизвестен;неизвестен;РС. 1883. № 2. С. 443, с пометой: «22 мая 1814 г. Чернь»;текст первой публикации
155;А. И. Тургенев;м;вторая половина мая 1814;Чернь;;Я получил твое милое письмо, бесценный друг;;15;235;;РНБ. Оп. 2. № 148. Л. 6—7. Б. д.;;ПЖТ. С. 118—120;автограф
156;П. А. Вяземский;м;май 1814;Чернь;;Твои четыре стиха прелестны, но письмо твое слишком коротко, и вообще ты пишешь ко мне и редко, и мало;;15;237;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 46—46 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
157;А. И. Тургенев;м;6 июня 1814;Чернь;;Я получил твое письмо и благодарю душевно за то утешение, которое ты им мне сделал;Твой Жуковский;15;238;;РНБ. Оп. 2. № 148. Л. 8. Б. г.;;ПЖТ. С. 120—121;автограф
158;А. П. Киреевская (Елагина);ж;10—12 июня 1814.;Чернь;милая сестра;Здравствуйте, милая сестра. Каковы Вы? все ли в добром здоровье;;15;239;;неизвестен;неизвестен;РС. 1883. № 2. С. 445, с пометой: «1814 г., должно быть, в мае. Чернь»;текст первой публикации
159;А. П. Киреевская (Елагина);ж;10—15 июня 1814;Чернь;;Воейкова еще нет! Следовательно, судьба велит мне ехать к Павлу Ивановичу;;15;240;;неизвестен;неизвестен;РС. 1883. № 2. С. 437, с пометой: «1814, конец апреля или начало мая. Муратово»;текст первой публикации
160;А. П. Киреевская (Елагина);ж;15—20 июня 1814;Муратово;"Милый дружок; милые дружки мои";Милый дружок, или, лучше сказать, милые дружки мои, большие и малые, являйтесь все к нам;;15;240;;неизвестен;неизвестен;РС. 1883. № 2. С. 446—448, с пометой: «(Чернь. В июне 1814 г., писано в Долбино)»;текст первой публикации
161;А. И. Тургенев;м;21 июня 1814;Чернь;;Милый друг, обнимаю тебя и спешу дать тебе несколько препоручений, о которых ты, верно, позабудешь;;15;242;;РНБ. Оп. 2. № 148. Л. 9.;;ПЖТ. С. 121—122.;автограф
162;М. А. Мойер (Протасова);ж;21 июня 1814;Муратово;Милый друг;21 июня. Понедельник. Я возвращаю тебе Май, пустой совершенно;От всего сердца твой Жуковский;15;243;;РО ИРЛИ. Р. I. Оп. 9. № 3. Л. 17—25.;;Памяти Жуковского. Вып. 1. С. 145—158;автограф
163;М. А. Мойер (Протасова);ж;28 июня 1814;"Дер. Куликовка; Сорочьи Кусты";;Я еду по вашим следам. Остановился в Куликовке;;15;252;;РО ИРЛИ. Р. I. Оп. 9. № 3. Л. 27—29;;Памяти Жуковского. Вып. 1. С. 159—164;автограф
164;М. А. Мойер (Протасова);ж;29 июня 1814;С. Губкино;;29 <июня>. — Губкино. Лежу в сарае, в санях, на сене;;15;255;;РО ИРЛИ. Р. I. Оп. 9. № 3. Л. 29 об. — 30 об.;;Памяти Жуковского. Вып. 1. С. 164—166;автограф
165;М. А. Мойер (Протасова);ж;5 июля 1814;Орел;;5 июля. Орел. В Нетрубеже не писал ничего, и не было времени писать;;15;256;;РО ИРЛИ. Р. I. Оп. 9. № 3. Л. 30 об. — 31 об.;;Памяти Жуковского. Вып. 1. С. 166—168;автограф
166;М. А. Мойер (Протасова);ж;9—15 июля 1814;"Дер. Котовка; Муратово";;9 июля. Деревня Котовка. Завтра увидимся, друг милый;;15;258;;РО ИРЛИ. Р. I. Оп. 9. № 3. Л. 31 об. — 37.;;Памяти Жуковского. Вып. 1. С. 168—176;автограф
167;А. Ф. Воейков;м;10—12 июля 1814;Муратово;друг милый;Пишу к тебе не для того, чтобы я считал это слишком нужным для тебя;;15;263;;РО ИРЛИ. № 29399. Л. 9—10 об. Б. д.;;ЖИМ. Вып. 3. С. 356—365. Публикация С. В. Березкиной;автограф
168;Д. А. Кавелин;м;18 июля 1814;Муратово;;Любезнейший Дмитрий Александрович, посылаю Вам письмо ко мне Фриофа, в котором изражает он всё;;15;266;;РНБ. Оп. 2. № 109. Л. 3.;;РА. 1900. Кн. 3. № 9. С. 31;автограф
169;А. Ф. Воейков;м;19 июля 1814;Муратово;Любезнейший Дмитрий Александрович;Для чего всё это пишу? Какую может это иметь пользу? ;Ваш Жуковский;15;267;;РО ИРЛИ. Ф. 244 (Онегинский архив). № 29399. Л. 1—1 об.;;Ежегодник РО ПД на 1980 г. Л., 1984. С. 85—87. Публикация Р. В. Иезуитовой;автограф
170;М. А. Мойер (Протасова);ж;конец июля 1814;Чернь;;Сердце у меня рвется, когда подумаю, что Вы теперь грустите;;15;268;;РНБ. Оп. 2. № 121. Л. 3—3 об., с добавлением на л. 4. Б. д.;;РА. 1900. Кн. 3. № 9. С. 31—34 — в составе общей подборки «Неизданные письма В. А. Жуковского. С примечаниями И. А. Бычкова», с датой: «В последней трети 1814 г.»;автограф
171;"А. П. Киреевская (Елагина); А. П. Юшкова (Зонтаг)";"ж; ж";31 июля — 2 августа 1814;Чернь;;Надобно еще начать маленькою побранкою;;15;270;;неизвестен;неизвестен;"РС. 1883. № 2. С. 448—451, с пометой: «31-го июля. (Чернь. 1814)»; в конце примечание переписчика, т. е. П. И. Бартенева: «На обороте: Авдотье Петровне. Писано в Муратово, где Авд<отья> Петр<овна> с сестрами оставалась после свадьбы Воейкова (14 июля). 3 августа в Черни праздник, именины или рожденье Анны Ивановны. 6 августа Авд<отья> П<етровна> должна была ехать в Долбино»";текст первой публикации
172;А. П. Киреевская (Елагина);ж;август 1814;Мишенское;;Лучше начать бранью, нежели ею кончить;;15;273;;неизвестен;неизвестен;РС. 1883. № 2. С. 451—453, с пометой: «(1814)» и примечанием П. А. Висковатова: «Без числа, но, кажется, связано с предыдущим (от 31 июля — 2 августа 1814 г.) письмом»;текст первой публикации
173;П. А. Вяземский;м;август—сентябрь 1814.;Чернь;Милый друг;Милый друг, вместо утешения и от тебя горе;;15;275;;РГАЛИ. Ф. 195. Оп. 1. № 1909а. Л. 2. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
174;А. Ф. Воейков;м;10 сентября 1814;Чернь;;"Так, обстоятельства переменились, и теперь ты хочешь быть лучше виноватым передо мною, нежели перед совестью; а время всё откроет";;15;276;;РО ИРЛИ. Ф. 244 (Онегинское собрание). № 29399. Л. 7—8. Б. г.;;ЖИМ. Вып. 3. С. 365—373. Публикация С. В. Березкиной;автограф
175;М. А. Мойер (Протасова);ж;15 сентября 1814;Чернь;;Не недоверчивость к Промыслу, мой друг, а забвение самого себя, естественное следствие смущения и горести;;15;279;;РО ИРЛИ. Р. I. Оп. 9. № 3. Л. 39 (эпиграф), 40, 41, 42, 43—44. Б. д. На л. 39 об., 40 об., 41 об., 42 об. — копия рукой Жуковского письма к нему Маши Протасовой, тоже недатированного. Записано в «синенькой книжке» (см. вступительное примечание к письму от 28 июня 1814 г.), с наклеенными на обложках рисунками сепией символического содержания (их воспроизведение см.: Памяти Жуковского. Вып. 1. С. 212—213);;Памяти Жуковского. Вып. 1. С. 212—213;автограф
176;М. А. Мойер (Протасова);ж;26 сентября 1814;Чернь;Милый ангел;Всё это было написано 15 сентября;;15;283;;РО ИРЛИ. Р. I. Оп. 9. № 3. Л. 44—44 об. Б. г.;;Памяти Жуковского. Вып. 1. С. 185—186;автограф
177;А. П. Киреевская (Елагина);ж;вторая половина сентября 1814;Чернь;Милая;Милая, шептун откликнулся и очень меня утешил;;15;284;;неизвестен;РНБ. Оп. 2. № 442. Л. 1—1 об., рукой П. И. Бартенева (в составе сборника копий писем Жуковского к Елагиной), с пометой: «(Чернь. 1814. В сентябре)»;ЖМНП. 1869. Ч. 142. Апр. С. 424—425 (б. д.). Полностью: РС. 1883.;копия
178;А. И. Тургенев;м;конец сентября 1814;Мишенское;Брат;Брат, ты жестоко меня наказываешь;;15;284;;РНБ. Оп. 2. № 148. Л. 11—11 об. Б. д.;;ПЖТ. С. 124—125;автограф
179;А. И. Тургенев;м;20 октября 1814;Володьково;друг милый и брат;Нет, друг милый и брат, это большое письмо не написано, и не лень помешала его написать;Жуковский;15;286;;РНБ. Оп. 2. № 148. Л. 13—14. Б. г.;;ПЖТ. С. 125—129;автограф
180;П. А. Вяземский;м;первые числа ноября 1814;Долбино;;Милый друг, податель этого письма есть Василий Андреевич Азбукин;Твой Жуковский;15;288;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 76—76 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
181;П. А. Вяземский;м;7 ноября 1814;Долбино;;"Я хотел много писать к тебе прозою; но неожиданный случай заставил писать стихами";Твой Жуковский;15;290;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 50. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
182;А. И. Тургенев;м;8 ноября 1814;Долбино;;Ты, верно, думаешь, что у меня всё готово, а я еще не написал ни одного стиха из моего Послания;Жуковский;15;291;;РНБ. Оп. 2. № 148. Л. 15—15 об.;;ПЖТ. С. 129—130;автограф
183;П. А. Вяземский;м;10 ноября 1814;Долбино;;Вот тебе и еще послание. Вдруг получишь два;Жуковский;15;292;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 49. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
184;П. А. Вяземский;м;14 ноября 1814;Чернь;Любезный друг;Любезный друг, прошу тебя сделать мне одолжение прислать хорошей листовой, то есть in folio веленевой бумаги дести две;Твой Жуковский;15;292;;РГАЛИ. Ф. 195. Оп. 1. № 1909б. Л. 44—44 об. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
185;А. П. Киреевская (Елагина);ж;25—28 ноября 1814;Чернь;милая;"Здравствуйте, милая. Вы не ошиблись; подставы не было";;15;295;;неизвестен;неизвестен;РС. 1883. № 2. С. 453—454, с пометой: «Чернь, 1814, вероятно, в сентябре» и примечанием П. А. Висковатова: «Потому в сентябре, что здесь говорится о послании к Александру I, которое Жуковский собирается выслать Тургеневу…»;текст первой публикации
186;П. А. Вяземский;м;конец ноября 1814;Чернь;;Прелестно! восхитительно! эти слова сами собою просятся на язык, когда читаешь твои стихи;;15;295;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 70—70 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
187;А. И. Тургенев;м;1 декабря 1814;Чернь;;Ты ждешь от меня плана моего «Послания к государю», а я посылаю тебе его совсем написанное;Василий Жуковский;15;296;;РНБ. Оп. 2. № 148. Л. 16—17 об. Б. г.;;ПЖТ. С. 130—134;автограф
188;П. А. Вяземский;м;1 декабря 1814;Чернь;;Что с тобою сделалось? На пять или на шесть моих писем, и стихотворных, и прозаических, нет ответа;;15;299;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 17—17 об. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
189;А. П. Киреевская (Елагина);ж;1—2 декабря 1814;Чернь;милая;Послушайте, милая, первое или пятое разницы немного, а оставшись на семейном празднике друзей;;15;300;;неизвестен;неизвестен;РС. 1883. № 2. С. 454—456, с пометой: «(1814. Чернь) в конце сентября или нач<але> октября»;текст первой публикации
190;П. А. Вяземский;м;12 декабря 1814;Долбино;;О каком «Пленнике» дерзну подумать, имея перед глазами ваших двух;Жуковский;15;301;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 56. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
191;Н. И. Гнедич;м;вторая половина декабря (не ранее 12-го числа) 1814;Долбино;почтеннейший Николай Иванович;Письмо Ваше слишком уже для меня лестно, почтеннейший Николай Иванович;Вам преданный с совершенным почтением Жуковский;15;303;;РНБ. Оп. 2. № 94. Л. 1—2 об. Б. д.;;Книжки Недели. 1896. № 1. С. 8—9. Публикация А. Ф. Онегина;автограф
192;"М. А. Мойер (Протасова); А. А. Воейкова";"ж; ж";октябрь—декабрь 1814;Долбино;милый друг Marie;Я сейчас от Авдотьи Никол<аевны>, милый друг Marie, читал вашу записочку;;15;303;;РО ИРЛИ. Р. I. Оп. 9. № 81. Л. 3—3 об. Б. д.;;Соловьев. Т. 2. С. 75;автограф
193;А. И. Тургенев;м;5 января 1815;Долбино;;Приложенное письмо отдай Уварову;Жуковский;15;304;;РНБ. Оп. 2. № 148. Л. 18. Б. д.;;ПЖТ. С. 134;автограф
194;С. С. Уваров;м;начало января (около 5-го) 1815;Долбино;;Я получил Ваше ободрительное, дружеское письмо, на которое ответ;Ваш Жуковский;15;304;;неизвестен;РНБ. Оп. 2. № 426. Л. 4—4 об., рукою А. И. Тургенева. Б. д.;РА. 1900. № 9. С. 13—14, с пометой: «5 декабря (sic!) читай: января (1815) Долбино»;копия
195;А. И. Тургенев;м;25 января 1815;Москва;;Мой милый друг, я не скоро отвечаю тебе на твое последнее письмо;Твой Жуковский;15;305;;РНБ. Оп. 2. № 148. Л. 19—19 об. Б. г.;;ПЖТ. С. 135—136;автограф
196;А. И. Тургенев;м;1 февраля 1815;Москва;;Ответ на все твои письма. Наконец имею свободную минуту и могу с тобою говорить на просторе;;15;306;;РНБ. Оп. 2. № 149. Л. 1—3. Б. г.;;ПЖТ. С. 136—140;автограф
197;А. И. Тургенев;м;4 февраля 1815;Москва;;Вчера еще получил от тебя письмо и читал здесь письмо Офросимова;;15;310;;РНБ. Оп. 2. № 150. Л. 1—1 об. Б. г.;;ПЖТ. С. 141—142;автограф
198;Д. Н. Блудов;м;февраль 1815;Москва;;Voila ma profession de foi. Сделав ее перед своею совестью;;15;312;;РНБ. Оп. 2. № 79. Л. 4—4 об. Б. д.;;Отчет ИПБ за 1887 г. СПб., 1890. С. 216—219 первой пагинации;автограф
199;А. И. Тургенев;м;4 марта 1815;Москва;;Я еду отсюда в воскресенье, то есть 7 числа, и еду прямо в Дерпт;;15;313;;РНБ. Оп. 2. № 150. Л. 2—2 об. Б. г.;;ПЖТ. С. 142—143;автограф
200;А. И. Тургенев;м;10 марта 1815;Крестцы;;Мне сказывал Яковлев в Москве, что у тебя есть благое намерение приехать за мною в Дерпт;Твой навеки Жуковский;15;315;;РНБ. Оп. 2. № 150. Л. 3. Б. г.;;ПЖТ. С. 143;автограф
